Time (ms),EMG Value,Label
2007,2.61,idle
2007,2.8,idle
2007,0.53,idle
2007,-1.9,idle
2007,-2.25,idle
2018,-0.63,idle
2020,1.01,idle
2023,1.23,idle
2024,0.35,idle
2026,-0.38,idle
2028,-0.31,idle
2028,0.09,idle
2033,0.05,idle
2034,-0.42,idle
2034,-0.57,idle
2038,0.07,idle
2040,0.95,idle
2041,1.07,idle
2041,0.05,idle
2047,-1.24,idle
2047,-1.42,idle
2047,-0.2,idle
2052,1.13,idle
2053,1.22,idle
2053,0.21,idle
2058,-0.61,idle
2059,-0.5,idle
2059,0.01,idle
2064,0.02,idle
2065,-0.46,idle
2065,-0.52,idle
2070,0.36,idle
2071,1.34,idle
2071,1.1,idle
2076,-0.43,idle
2077,-1.86,idle
2077,-1.69,idle
2082,0.2,idle
2085,2.22,idle
2086,2.28,idle
2088,-0.06,idle
2091,-2.6,idle
2093,-2.59,idle
2094,0.1,idle
2096,2.63,idle
2099,2.38,idle
2100,-0.12,idle
2102,-2.07,idle
2103,-1.62,idle
2106,0.25,idle
2108,1.24,idle
2110,0.48,idle
2113,-0.71,idle
2114,-0.68,idle
2116,0.51,idle
2119,1.32,idle
2121,0.68,idle
2123,-0.78,idle
2124,-1.59,idle
2127,-1.04,idle
2128,0.26,idle
2130,1.22,idle
2132,1.18,idle
2133,0.33,idle
2136,-0.44,idle
2139,-0.46,idle
2141,-0.12,idle
2141,-0.33,idle
2144,-1.01,idle
2146,-0.93,idle
2149,0.53,idle
2150,2.22,idle
2152,2.28,idle
2155,0.18,idle
2156,-2.46,idle
2158,-3.29,idle
2160,-1.37,idle
2162,1.78,idle
2162,3.4,idle
2166,2.2,idle
2169,-0.45,idle
2171,-2.27,idle
2172,-2.34,idle
2174,-1.17,idle
2177,0.47,idle
2177,1.9,idle
2180,2.28,idle
2183,1.08,idle
2184,-1.03,idle
2186,-2.31,idle
2188,-1.75,idle
2191,-0.07,idle
2193,1.27,idle
2194,1.61,idle
2196,1.18,idle
2198,0.18,idle
2200,-1.13,idle
2202,-1.89,idle
2204,-1.23,idle
2204,0.54,idle
2208,1.89,idle
2210,1.6,idle
2212,0.01,idle
2212,-1.39,idle
2217,-1.43,idle
2219,-0.33,idle
2220,0.74,idle
2222,0.94,idle
2224,0.44,idle
2227,-0.12,idle
2228,-0.44,idle
2229,-0.54,idle
2233,-0.34,idle
2234,0.2,idle
2236,0.63,idle
2239,0.41,idle
2241,-0.18,idle
2242,-0.39,idle
2244,-0.13,idle
2246,-0.03,idle
2248,-0.24,idle
2250,-0.14,idle
2252,0.52,idle
2253,0.92,idle
2256,0.23,idle
2258,-1.03,idle
2261,-1.44,idle
2261,-0.3,idle
2264,1.39,idle
2266,1.82,idle
2268,0.42,idle
2270,-1.45,idle
2272,-2.0,idle
2274,-0.78,idle
2276,1.07,idle
2278,2.1,idle
2280,1.53,idle
2282,-0.37,idle
2285,-2.27,idle
2285,-2.4,idle
2288,-0.24,idle
2291,2.41,idle
2293,2.86,idle
2294,0.53,idle
2297,-2.25,idle
2299,-2.75,idle
2300,-0.74,idle
2302,1.68,idle
2304,2.36,idle
2306,0.86,idle
2308,-1.22,idle
2310,-1.74,idle
2312,-0.38,idle
2314,1.0,idle
2314,0.81,idle
2319,-0.36,idle
2320,-0.82,idle
2322,-0.08,idle
2324,0.77,idle
2326,0.66,idle
2328,-0.26,idle
2330,-0.85,idle
2332,-0.39,idle
2335,0.55,idle
2336,0.76,idle
2339,-0.08,idle
2341,-0.94,idle
2342,-0.65,idle
2344,0.58,idle
2344,1.29,idle
2344,0.57,idle
2350,-0.85,idle
2352,-1.45,idle
2355,-0.55,idle
2356,0.98,idle
2358,1.48,idle
2360,0.25,idle
2362,-1.27,idle
2362,-0.98,idle
2366,0.88,idle
2369,1.67,idle
2370,-0.28,idle
2370,-2.86,idle
2374,-2.28,idle
2377,1.85,idle
2378,5.06,idle
2380,3.09,idle
2382,-2.7,idle
2384,-6.46,idle
2386,-4.06,idle
2388,2.38,idle
2390,6.56,idle
2392,4.57,idle
2392,-1.26,idle
2396,-5.19,idle
2398,-4.12,idle
2400,-0.08,idle
2402,2.84,idle
2405,2.79,idle
2406,1.03,idle
2407,-0.5,idle
2410,-1.14,idle
2412,-1.2,idle
2414,-0.87,idle
2416,-0.11,idle
2418,0.64,idle
2420,0.63,idle
2422,0.17,idle
2424,0.38,idle
2426,1.19,idle
2428,0.89,idle
2429,-1.23,idle
2432,-3.17,idle
2434,-2.3,idle
2436,1.14,idle
2438,3.9,idle
2440,3.19,idle
2442,-0.27,idle
2444,-3.12,idle
2446,-2.98,idle
2448,-0.55,idle
2450,1.61,idle
2452,1.83,idle
2454,0.67,idle
2456,-0.28,idle
2458,-0.32,idle
2460,-0.14,idle
2463,-0.54,idle
2464,-1.16,idle
2465,-0.73,idle
2468,1.02,idle
2470,2.46,idle
2472,1.66,idle
2472,-1.08,idle
2476,-3.08,idle
2478,-2.22,idle
2480,0.54,idle
2480,2.34,idle
2484,1.9,idle
2486,0.47,idle
2489,-0.51,idle
2490,-1.01,idle
2492,-1.41,idle
2494,-1.15,idle
2496,0.3,idle
2498,1.86,idle
2500,1.67,idle
2501,-0.28,idle
2504,-1.77,idle
2506,-1.07,idle
2509,0.82,idle
2509,1.38,idle
2512,-0.06,idle
2514,-1.45,idle
2516,-0.85,idle
2516,1.02,idle
2520,1.7,idle
2522,0.24,idle
2524,-1.56,idle
2526,-1.39,idle
2528,0.6,idle
2530,1.86,idle
2532,0.58,idle
2534,-1.72,idle
2536,-1.97,idle
2538,0.37,idle
2539,2.56,idle
2543,2.0,idle
2544,-0.71,idle
2546,-2.75,idle
2547,-2.24,idle
2550,0.22,idle
2552,2.42,idle
2554,2.6,idle
2556,0.62,idle
2558,-1.89,idle
2560,-2.69,idle
2562,-0.97,idle
2564,1.54,idle
2566,2.29,idle
2568,0.64,idle
2570,-1.61,idle
2572,-2.16,idle
2574,-0.33,idle
2576,2.3,idle
2578,2.97,idle
2580,0.5,idle
2583,-2.99,idle
2585,-3.93,idle
2586,-1.18,idle
2589,2.68,idle
2591,4.09,idle
2592,1.98,idle
2594,-1.52,idle
2596,-3.31,idle
2598,-2.15,idle
2598,0.46,idle
2603,2.03,idle
2604,1.54,idle
2606,0.03,idle
2607,-0.95,idle
2610,-0.83,idle
2612,-0.07,idle
2614,0.56,idle
2616,0.59,idle
2618,-0.02,idle
2620,-0.75,idle
2622,-0.81,idle
2624,0.06,idle
2626,1.07,idle
2628,1.08,idle
2629,-0.09,idle
2632,-1.26,idle
2634,-1.06,idle
2636,0.28,idle
2638,1.06,idle
2640,0.5,idle
2642,-0.27,idle
2644,-0.13,idle
2647,0.25,idle
2648,-0.3,idle
2650,-1.2,idle
2652,-0.79,idle
2653,1.04,idle
2656,2.21,idle
2658,1.06,idle
2660,-1.39,idle
2660,-2.48,idle
2664,-1.06,idle
2666,1.24,idle
2668,2.04,idle
2668,0.84,idle
2672,-0.81,idle
