Time (ms),EMG Value,Label
2003,2.66,idle
2003,1.05,idle
2003,-2.2,idle
2003,-2.97,idle
2011,-0.01,idle
2012,3.31,idle
2014,3.09,idle
2017,-0.39,idle
2018,-3.33,idle
2020,-3.12,idle
2022,-0.56,idle
2024,1.99,idle
2026,2.97,idle
2029,2.08,idle
2029,-0.04,idle
2032,-2.18,idle
2034,-2.93,idle
2036,-1.52,idle
2037,1.16,idle
2040,2.68,idle
2042,1.58,idle
2044,-0.73,idle
2047,-1.55,idle
2048,-0.17,idle
2050,1.4,idle
2052,0.74,idle
2054,-1.92,idle
2056,-3.19,idle
2058,-0.66,idle
2059,3.33,idle
2062,4.29,idle
2064,1.22,idle
2067,-2.48,idle
2067,-3.51,idle
2071,-1.99,idle
2072,-0.03,idle
2075,1.21,idle
2076,2.02,idle
2078,2.33,idle
2080,1.24,idle
2082,-1.14,idle
2085,-2.81,idle
2087,-2.21,idle
2089,-0.22,idle
2090,1.14,idle
2092,1.36,idle
2094,1.29,idle
2096,1.25,idle
2098,0.52,idle
2100,-1.25,idle
2102,-2.84,idle
2104,-2.35,idle
2106,0.37,idle
2108,3.0,idle
2109,3.02,idle
2112,0.57,idle
2114,-1.86,idle
2116,-2.36,idle
2118,-1.17,idle
2120,0.29,idle
2122,1.04,idle
2125,1.1,idle
2125,0.96,idle
2128,0.57,idle
2130,-0.56,idle
2133,-1.93,idle
2133,-1.92,idle
2136,0.06,idle
2138,2.26,idle
2140,2.44,idle
2143,0.46,idle
2145,-1.69,idle
2147,-2.17,idle
2149,-1.02,idle
2151,0.54,idle
2152,1.56,idle
2154,1.56,idle
2156,0.38,idle
2159,-1.23,idle
2161,-1.76,idle
2162,-0.57,idle
2164,1.1,idle
2166,1.5,idle
2168,0.4,idle
2169,-0.89,idle
2172,-1.13,idle
2174,-0.37,idle
2175,0.57,idle
2179,1.02,idle
2180,0.71,idle
2182,-0.34,idle
2184,-1.33,idle
2186,-1.07,idle
2188,0.48,idle
2189,1.69,idle
2192,1.1,idle
2194,-0.71,idle
2196,-1.72,idle
2198,-0.94,idle
2201,0.62,idle
2203,1.39,idle
2204,0.99,idle
2204,-0.06,idle
2204,-1.22,idle
2211,-1.74,idle
2213,-0.66,idle
2215,1.7,idle
2216,3.01,idle
2216,1.28,idle
2216,-2.39,idle
2223,-4.36,idle
2225,-2.11,idle
2227,2.76,idle
2228,5.47,idle
2228,2.86,idle
2228,-2.76,idle
2234,-5.65,idle
2236,-2.9,idle
2238,2.42,idle
2241,4.81,idle
2242,2.26,idle
2244,-2.03,idle
2247,-3.61,idle
2248,-1.41,idle
2249,1.71,idle
2253,2.5,idle
2254,0.6,idle
2257,-1.47,idle
2259,-1.43,idle
2260,0.27,idle
2262,1.28,idle
2265,0.4,idle
2266,-1.05,idle
2268,-1.1,idle
2269,0.2,idle
2272,1.17,idle
2274,0.88,idle
2277,0.1,idle
2278,-0.32,idle
2280,-0.57,idle
2283,-1.03,idle
2284,-1.12,idle
2285,-0.04,idle
2288,1.7,idle
2291,2.38,idle
2292,0.98,idle
2295,-1.45,idle
2297,-2.76,idle
2299,-1.92,idle
2301,0.24,idle
2301,2.09,idle
2304,2.5,idle
2307,1.36,idle
2309,-0.76,idle
2311,-2.75,idle
2313,-2.95,idle
2314,-0.43,idle
2315,3.09,idle
2318,4.04,idle
2320,0.97,idle
2322,-3.22,idle
2324,-4.19,idle
2327,-1.05,idle
2329,2.71,idle
2329,3.34,idle
2331,0.85,idle
2331,-1.65,idle
2336,-1.87,idle
2339,-0.51,idle
2341,0.53,idle
2342,0.66,idle
2344,0.41,idle
2347,0.04,idle
2349,-0.47,idle
2350,-0.68,idle
2352,-0.05,idle
2354,0.98,idle
2357,1.19,idle
2358,0.05,idle
2360,-1.34,idle
2363,-1.49,idle
2365,-0.32,idle
2367,0.84,idle
2369,1.13,idle
2371,0.83,idle
2372,0.4,idle
2374,-0.28,idle
2376,-1.13,idle
2378,-1.44,idle
2380,-0.6,idle
2382,0.88,idle
2384,1.68,idle
2386,1.1,idle
2388,-0.25,idle
2390,-1.21,idle
2392,-1.22,idle
2394,-0.47,idle
2396,0.55,idle
2399,1.34,idle
2400,1.14,idle
2402,-0.42,idle
2404,-2.04,idle
2404,-1.53,idle
2404,1.18,idle
2411,3.1,idle
2413,1.59,idle
2415,-2.01,idle
2417,-3.69,idle
2419,-1.6,idle
2420,1.84,idle
2423,3.1,idle
2425,1.59,idle
2427,-0.47,idle
2428,-1.36,idle
2428,-1.37,idle
2428,-1.39,idle
2434,-0.99,idle
2436,0.74,idle
2438,2.97,idle
2440,3.15,idle
2440,0.12,idle
2445,-3.61,idle
2447,-4.16,idle
2449,-0.81,idle
2450,3.03,idle
2453,3.67,idle
2455,1.07,idle
2457,-1.72,idle
2459,-2.19,idle
2460,-0.78,idle
2463,0.45,idle
2464,0.56,idle
2466,0.24,idle
2468,0.28,idle
2471,0.49,idle
2473,0.32,idle
2474,-0.26,idle
2476,-0.73,idle
2479,-0.74,idle
2479,-0.36,idle
2483,0.3,idle
2484,0.99,idle
2486,1.12,idle
2488,0.18,idle
2490,-1.17,idle
2492,-1.42,idle
2494,-0.15,idle
2496,1.22,idle
2499,1.1,idle
2501,-0.2,idle
2501,-1.02,idle
2504,-0.65,idle
2506,0.14,idle
2508,0.68,idle
2510,0.92,idle
2512,0.58,idle
2515,-0.64,idle
2515,-1.9,idle
2518,-1.55,idle
2520,0.77,idle
2523,3.03,idle
2524,2.49,idle
2526,-0.94,idle
2528,-3.86,idle
2530,-2.91,idle
2531,1.08,idle
2531,3.77,idle
2536,2.46,idle
2538,-0.81,idle
2540,-2.3,idle
2542,-1.36,idle
2543,-0.27,idle
2547,-0.11,idle
2549,0.37,idle
2550,1.74,idle
2551,2.29,idle
2554,0.42,idle
2556,-2.63,idle
2559,-3.68,idle
2561,-1.24,idle
2562,2.55,idle
2564,4.07,idle
2566,2.02,idle
2568,-1.58,idle
2569,-3.65,idle
2572,-2.66,idle
2574,0.42,idle
2576,2.98,idle
2578,2.86,idle
2580,0.26,idle
2582,-2.3,idle
2585,-2.47,idle
2586,-0.38,idle
2589,1.68,idle
2590,1.77,idle
2592,0.25,idle
2594,-1.1,idle
2596,-1.16,idle
2599,-0.31,idle
2601,0.49,idle
2602,0.77,idle
2604,0.65,idle
2604,0.25,idle
2604,-0.45,idle
2610,-1.1,idle
2613,-0.95,idle
2615,0.15,idle
2617,1.24,idle
2619,1.18,idle
2621,0.09,idle
2623,-0.84,idle
2624,-0.83,idle
2627,-0.24,idle
2629,0.09,idle
2631,0.06,idle
2633,0.27,idle
2635,0.81,idle
2636,0.82,idle
2639,-0.26,idle
2640,-1.54,idle
2640,-1.49,idle
2640,0.15,idle
2646,1.78,idle
2648,1.74,idle
2651,0.13,idle
2652,-1.41,idle
2653,-1.57,idle
2653,-0.6,idle
2659,0.58,idle
2660,1.32,idle
2662,1.2,idle
2665,0.08,idle
2666,-1.26,idle
2668,-1.49,idle
2671,-0.16,idle
2671,1.38,idle
2674,1.26,idle
2677,-0.42,idle
2678,-1.5,idle
2681,-0.52,idle
2683,1.21,idle
2685,1.35,idle
2685,-0.34,idle
2688,-1.69,idle
2690,-0.97,idle
2692,0.96,idle
2695,1.86,idle
2696,0.7,idle
2698,-1.28,idle
2700,-1.99,idle
2702,-0.66,idle
2704,1.28,idle
2706,1.94,idle
2709,0.89,idle
2711,-0.8,idle
2713,-1.77,idle
2715,-1.34,idle
2717,0.13,idle
2719,1.4,idle
2719,1.5,idle
2723,0.53,idle
2725,-0.55,idle
2727,-1.03,idle
2728,-0.99,idle
2730,-0.72,idle
2733,-0.06,idle
2735,1.12,idle
2736,1.98,idle
2739,1.3,idle
2741,-0.92,idle
2743,-2.76,idle
2745,-2.23,idle
2747,0.54,idle
2749,3.05,idle
2750,2.76,idle
2752,-0.25,idle
2754,-3.1,idle
2756,-3.0,idle
2758,-0.03,idle
2760,3.01,idle
2762,3.3,idle
2764,0.45,idle
2766,-2.94,idle
2768,-3.52,idle
2769,-0.64,idle
2772,2.7,idle
2774,3.07,idle
2776,0.43,idle
2779,-2.03,idle
2780,-1.77,idle
2782,0.16,idle
2784,0.91,idle
2786,-0.18,idle
2788,-0.87,idle
2790,0.43,idle
2792,2.15,idle
2794,1.61,idle
2796,-1.26,idle
2798,-3.46,idle
2800,-2.39,idle
2802,1.12,idle
2804,3.68,idle
2805,2.86,idle
2808,-0.32,idle
2810,-2.7,idle
2813,-2.42,idle
2814,-0.49,idle
2816,0.98,idle
2819,1.18,idle
2819,0.75,idle
2822,0.34,idle
2824,-0.01,idle
2826,-0.29,idle
2828,-0.43,idle
2830,-0.49,idle
2832,-0.45,idle
2834,-0.21,idle
2836,0.09,idle
2838,0.42,idle
2840,0.96,idle
2843,1.37,idle
2843,0.49,idle
2847,-1.89,idle
2849,-3.43,idle
2851,-1.42,idle
2852,3.0,idle
2854,4.99,idle
2856,1.73,idle
2858,-3.53,idle
2858,-5.1,idle
2862,-1.66,idle
2865,2.63,idle
2866,3.68,idle
2867,1.73,idle
2871,-0.39,idle
2873,-1.34,idle
2874,-1.86,idle
2876,-2.1,idle
2879,-0.92,idle
2880,1.61,idle
