Time (ms),EMG Value,Label
2001,0.02,idle
2001,1.04,idle
2001,0.99,idle
2001,0.33,idle
2001,0.02,idle
2010,0.19,idle
2011,0.14,idle
2011,-0.48,idle
2011,-1.06,idle
2011,-0.82,idle
2021,0.1,idle
2021,0.77,idle
2021,0.63,idle
2021,0.16,idle
2021,0.08,idle
2031,0.38,idle
2031,0.35,idle
2031,-0.33,idle
2031,-1.08,idle
2031,-1.02,idle
2041,-0.12,idle
2041,0.71,idle
2041,0.77,idle
2041,0.35,idle
2041,0.15,idle
2051,0.28,idle
2051,0.19,idle
2051,-0.41,idle
2051,-0.96,idle
2051,-0.76,idle
2061,0.05,idle
2061,0.57,idle
2061,0.31,idle
2061,-0.08,idle
2061,0.2,idle
2071,0.88,idle
2071,0.89,idle
2071,-0.19,idle
2071,-1.44,idle
2071,-1.55,idle
2081,-0.4,idle
2081,0.76,idle
2081,0.85,idle
2081,0.28,idle
2081,0.19,idle
2090,0.76,idle
2091,0.9,idle
2091,-0.16,idle
2091,-1.59,idle
2091,-1.75,idle
2101,-0.36,idle
2101,0.94,idle
2101,0.72,idle
2101,-0.23,idle
2101,0.0,idle
2111,1.52,idle
2111,2.11,idle
2111,0.21,idle
2111,-2.67,idle
2111,-3.35,idle
2121,-0.92,idle
2121,1.9,idle
2121,2.08,idle
2121,0.19,idle
2121,-0.65,idle
2131,0.77,idle
2131,2.1,idle
2131,0.74,idle
2131,-2.4,idle
2131,-3.76,idle
2141,-1.63,idle
2141,1.64,idle
2141,2.69,idle
2141,1.26,idle
2141,-0.05,idle
2151,0.33,idle
2151,0.92,idle
2151,-0.26,idle
2151,-2.48,idle
2151,-3.02,idle
2161,-0.76,idle
2161,2.14,idle
2161,2.91,idle
2161,1.38,idle
2161,-0.35,idle
2169,-0.78,idle
2169,-0.53,idle
2169,-0.74,idle
2169,-1.25,idle
2179,-0.94,idle
2179,0.41,idle
2179,1.59,idle
2179,1.42,idle
2179,0.24,idle
2189,-0.64,idle
2189,-0.56,idle
2189,-0.12,idle
2189,-0.11,idle
2189,-0.46,idle
2199,-0.48,idle
2200,0.05,idle
2200,0.57,idle
2200,0.54,idle
2200,0.15,idle
2209,-0.02,idle
2209,0.14,idle
2209,0.19,idle
2209,-0.19,idle
2209,-0.67,idle
2219,-0.67,idle
2219,-0.13,idle
2219,0.37,idle
2219,0.39,idle
2219,0.21,idle
2229,0.3,idle
2229,0.58,idle
2229,0.43,idle
2229,-0.37,idle
2229,-1.17,idle
2239,-1.11,idle
2239,-0.19,idle
2239,0.68,idle
2239,0.81,idle
2239,0.46,idle
2249,0.25,idle
2249,0.31,idle
2249,0.16,idle
2249,-0.46,idle
2249,-1.05,idle
2259,-0.94,idle
2259,-0.12,idle
2259,0.63,idle
2259,0.72,idle
2259,0.42,idle
2269,0.32,idle
2269,0.44,idle
2269,0.2,idle
2269,-0.59,idle
2269,-1.24,idle
2279,-0.99,idle
2279,0.03,idle
2279,0.81,idle
2279,0.77,idle
2279,0.35,idle
2289,0.24,idle
2289,0.39,idle
2289,0.16,idle
2289,-0.62,idle
2289,-1.24,idle
2299,-0.93,idle
2299,0.13,idle
2299,0.9,idle
2299,0.8,idle
2299,0.25,idle
2309,0.05,idle
2309,0.24,idle
2309,0.2,idle
2309,-0.42,idle
2309,-1.06,idle
2319,-0.93,idle
2319,-0.02,idle
2319,0.79,idle
2319,0.84,idle
2319,0.4,idle
2329,0.13,idle
2329,0.14,idle
2329,-0.02,idle
2329,-0.56,idle
2329,-0.99,idle
2339,-0.69,idle
2339,0.18,idle
2339,0.84,idle
2339,0.76,idle
2339,0.26,idle
2349,-0.05,idle
2349,-0.03,idle
2349,-0.07,idle
2349,-0.38,idle
2349,-0.65,idle
2359,-0.42,idle
2359,0.15,idle
2359,0.5,idle
2359,0.36,idle
2359,0.1,idle
2369,0.15,idle
2369,0.36,idle
2369,0.21,idle
2369,-0.4,idle
2369,-0.9,idle
2379,-0.7,idle
2379,0.03,idle
2379,0.6,idle
2379,0.58,idle
2379,0.29,idle
2389,0.14,idle
2389,0.15,idle
2389,0.0,idle
2389,-0.39,idle
2389,-0.67,idle
2399,-0.48,idle
2399,0.01,idle
2399,0.33,idle
2399,0.3,idle
2399,0.2,idle
2409,0.34,idle
2409,0.52,idle
2409,0.28,idle
2409,-0.42,idle
2409,-0.99,idle
2419,-0.84,idle
2419,-0.13,idle
2419,0.44,idle
2419,0.5,idle
2419,0.38,idle
2429,0.49,idle
2429,0.62,idle
2429,0.21,idle
2429,-0.69,idle
2429,-1.29,idle
2439,-0.93,idle
2439,0.05,idle
2439,0.69,idle
2439,0.59,idle
2439,0.34,idle
2439,0.5,idle
2449,0.72,idle
2449,0.23,idle
2449,-0.91,idle
2449,-1.65,idle
2459,-1.08,idle
2459,0.32,idle
2459,1.22,idle
2459,0.96,idle
2459,0.23,idle
2459,-0.02,idle
2469,0.2,idle
2469,0.1,idle
2469,-0.59,idle
2469,-1.16,idle
2481,-0.78,idle
2481,0.27,idle
2481,0.92,idle
2481,0.67,idle
2481,0.13,idle
2481,0.07,idle
2489,0.32,idle
2489,0.17,idle
