Time (ms),EMG Value,Label
2000,-1.6,idle
2000,-0.18,idle
2000,1.81,idle
2007,2.5,idle
2009,1.07,idle
2011,-1.34,idle
2013,-2.62,idle
2015,-1.56,idle
2017,0.93,idle
2019,2.39,idle
2021,1.27,idle
2023,-1.16,idle
2023,-2.15,idle
2023,-0.68,idle
2029,1.51,idle
2031,2.02,idle
2033,0.36,idle
2035,-1.59,idle
2037,-1.7,idle
2039,-0.09,idle
2041,1.19,idle
2043,0.81,idle
2045,-0.28,idle
2047,-0.41,idle
2047,0.41,idle
2051,0.63,idle
2053,-0.4,idle
2055,-1.19,idle
2056,-0.45,idle
2059,0.83,idle
2061,0.81,idle
2063,-0.42,idle
2064,-0.89,idle
2067,0.36,idle
2069,1.7,idle
2071,0.98,idle
2071,-1.42,idle
2075,-2.76,idle
2077,-1.24,idle
2079,1.64,idle
2079,2.82,idle
2083,1.33,idle
2085,-0.9,idle
2087,-1.72,idle
2087,-1.07,idle
2091,-0.2,idle
2093,0.23,idle
2095,0.46,idle
2097,0.78,idle
2099,0.95,idle
2101,0.43,idle
2103,-0.84,idle
2105,-1.83,idle
2107,-1.15,idle
2108,1.01,idle
2111,2.56,idle
2113,1.6,idle
2114,-1.32,idle
2115,-3.48,idle
2119,-2.41,idle
2120,1.47,idle
2122,4.63,idle
2123,3.59,idle
2126,-1.12,idle
2128,-5.0,idle
2130,-4.24,idle
2133,0.05,idle
2135,3.5,idle
2137,3.58,idle
2138,1.43,idle
2141,-0.68,idle
2143,-1.87,idle
2144,-2.32,idle
2145,-1.89,idle
2149,-0.22,idle
2151,2.0,idle
2153,3.01,idle
2153,1.75,idle
2157,-0.73,idle
2159,-2.24,idle
2161,-1.96,idle
2163,-0.9,idle
2165,0.03,idle
2167,1.04,idle
2169,2.17,idle
2170,2.17,idle
2173,0.03,idle
2175,-2.66,idle
2177,-2.95,idle
2179,-0.32,idle
2181,2.3,idle
2181,2.12,idle
2181,-0.16,idle
2187,-1.5,idle
2189,-0.55,idle
2191,0.91,idle
2193,0.75,idle
2195,-0.68,idle
2197,-1.39,idle
2199,-0.43,idle
2201,1.11,idle
2203,1.5,idle
2205,0.41,idle
2205,-0.91,idle
2209,-1.22,idle
2211,-0.47,idle
2213,0.46,idle
2214,0.8,idle
2217,0.47,idle
2219,-0.03,idle
2219,-0.34,idle
2222,-0.5,idle
2224,-0.46,idle
2226,0.01,idle
2229,0.71,idle
2231,0.89,idle
2233,0.12,idle
2235,-0.93,idle
2235,-1.14,idle
2238,-0.2,idle
2241,1.0,idle
2243,1.23,idle
2243,0.27,idle
2246,-0.77,idle
2249,-0.94,idle
2251,-0.51,idle
2253,-0.08,idle
2255,0.45,idle
2257,1.09,idle
2259,1.15,idle
2261,0.13,idle
2263,-1.35,idle
2265,-2.01,idle
2265,-1.07,idle
2269,1.02,idle
2271,2.54,idle
2273,1.88,idle
2275,-0.56,idle
2277,-2.26,idle
2278,-1.59,idle
2279,0.15,idle
2283,0.81,idle
2285,0.37,idle
2287,0.3,idle
2287,0.98,idle
2291,1.07,idle
2293,-0.33,idle
2295,-2.18,idle
2297,-2.42,idle
2299,-0.31,idle
2301,2.44,idle
2302,3.25,idle
2305,1.24,idle
2307,-1.76,idle
2308,-3.08,idle
2311,-1.84,idle
2313,0.52,idle
2314,1.95,idle
2315,1.68,idle
2319,0.47,idle
2320,-0.53,idle
2323,-0.82,idle
2323,-0.59,idle
2326,-0.3,idle
2329,-0.22,idle
2331,-0.2,idle
2332,0.16,idle
2332,0.92,idle
2332,1.29,idle
2338,0.49,idle
2341,-1.07,idle
2343,-1.9,idle
2344,-1.05,idle
2344,0.76,idle
2349,1.82,idle
2351,1.32,idle
2353,-0.08,idle
2353,-1.24,idle
2357,-1.5,idle
2359,-0.78,idle
2361,0.47,idle
2362,1.45,idle
2364,1.42,idle
2366,0.33,idle
2369,-1.08,idle
2370,-1.78,idle
2370,-1.09,idle
2375,0.71,idle
2376,2.15,idle
2379,1.75,idle
2380,-0.4,idle
2380,-2.44,idle
2380,-2.5,idle
2387,-0.32,idle
2389,2.44,idle
2391,3.45,idle
2393,1.59,idle
2393,-1.82,idle
2393,-3.99,idle
2399,-3.12,idle
2401,0.27,idle
2403,3.77,idle
2405,4.44,idle
2405,1.21,idle
2405,-3.23,idle
2411,-4.46,idle
2413,-1.31,idle
2415,2.55,idle
2417,2.97,idle
2419,0.2,idle
2421,-1.98,idle
2423,-1.22,idle
2423,1.0,idle
2427,1.82,idle
2429,0.42,idle
2430,-1.46,idle
2431,-1.91,idle
2435,-0.72,idle
2437,0.89,idle
2439,1.65,idle
2441,1.34,idle
2443,0.58,idle
2445,-0.32,idle
2447,-1.45,idle
2449,-2.39,idle
2451,-1.93,idle
2453,0.54,idle
2453,3.51,idle
2457,4.02,idle
2459,0.91,idle
2461,-3.28,idle
2463,-4.59,idle
2465,-1.78,idle
2467,2.13,idle
2467,3.29,idle
2471,1.28,idle
2473,-0.95,idle
2475,-1.11,idle
2475,0.04,idle
2479,0.36,idle
2481,-0.62,idle
2483,-1.2,idle
2485,-0.12,idle
2487,1.38,idle
2489,1.26,idle
2489,-0.35,idle
2493,-1.25,idle
2495,-0.32,idle
2497,1.13,idle
2499,1.19,idle
2501,-0.45,idle
2503,-2.16,idle
2505,-1.89,idle
2505,0.51,idle
2509,2.78,idle
2511,2.51,idle
2513,-0.04,idle
2514,-2.3,idle
2517,-2.25,idle
2519,-0.39,idle
2520,1.2,idle
2521,1.19,idle
2525,0.19,idle
2526,-0.36,idle
2529,0.04,idle
2529,0.55,idle
2533,0.21,idle
2535,-0.81,idle
2537,-1.37,idle
2539,-0.57,idle
2541,1.08,idle
2543,1.99,idle
2544,1.05,idle
2547,-1.19,idle
2549,-2.64,idle
2550,-1.5,idle
2550,1.57,idle
2555,3.46,idle
2556,1.77,idle
2559,-2.08,idle
2561,-4.01,idle
2563,-1.74,idle
2564,2.33,idle
2567,3.68,idle
2569,1.02,idle
2571,-2.17,idle
2571,-2.17,idle
2575,0.34,idle
2577,1.72,idle
2579,0.33,idle
2581,-1.69,idle
2583,-1.53,idle
2585,0.71,idle
2587,2.44,idle
2587,1.74,idle
2587,-0.63,idle
2593,-2.3,idle
2595,-1.85,idle
2597,-0.02,idle
2599,1.4,idle
2599,1.37,idle
2599,0.4,idle
2605,-0.29,idle
2607,-0.24,idle
2609,-0.06,idle
2611,-0.43,idle
2611,-1.04,idle
2611,-0.79,idle
2617,0.72,idle
2619,2.05,idle
2621,1.31,idle
2623,-1.1,idle
2625,-2.36,idle
2627,-0.79,idle
2629,1.59,idle
2629,1.65,idle
2633,-0.55,idle
2634,-1.82,idle
2636,-0.31,idle
2639,1.92,idle
2641,1.73,idle
2643,-0.88,idle
2643,-2.73,idle
2647,-1.46,idle
2649,1.49,idle
2651,2.74,idle
2653,1.03,idle
2655,-1.53,idle
2657,-2.21,idle
2659,-0.59,idle
2659,1.42,idle
2663,1.75,idle
2665,0.19,idle
2667,-1.52,idle
2667,-1.49,idle
2671,0.26,idle
2673,1.65,idle
2675,0.97,idle
2676,-0.81,idle
2679,-1.28,idle
2681,0.05,idle
2683,1.11,idle
2685,0.37,idle
2687,-1.04,idle
2689,-1.11,idle
2690,0.39,idle
2693,1.73,idle
2695,1.25,idle
2697,-0.73,idle
2699,-2.16,idle
2701,-1.48,idle
2703,0.6,idle
2705,2.0,idle
2705,1.56,idle
2708,-0.0,idle
2711,-1.17,idle
2713,-1.25,idle
2714,-0.65,idle
2717,0.03,idle
2719,0.64,idle
2720,1.13,idle
2721,1.0,idle
2725,-0.1,idle
2726,-1.41,idle
2729,-1.55,idle
2729,-0.2,idle
2733,1.34,idle
2735,1.54,idle
2737,0.37,idle
2738,-0.89,idle
2741,-1.12,idle
2743,-0.36,idle
2745,0.43,idle
