Time (ms),EMG Value,Label
2004,1.29,idle
2005,1.57,idle
2005,1.33,idle
2005,0.77,idle
2005,-0.09,idle
2014,-1.06,idle
2014,-1.69,idle
2014,-1.62,idle
2015,-0.83,idle
2015,0.29,idle
2024,1.19,idle
2025,1.59,idle
2025,1.49,idle
2025,0.93,idle
2025,-0.06,idle
2034,-1.22,idle
2034,-1.96,idle
2035,-1.78,idle
2035,-0.71,idle
2035,0.64,idle
2044,1.5,idle
2044,1.56,idle
2044,1.14,idle
2044,0.54,idle
2045,-0.19,idle
2054,-1.0,idle
2054,-1.54,idle
2054,-1.44,idle
2054,-0.73,idle
2054,0.2,idle
2064,0.95,idle
2064,1.41,idle
2064,1.56,idle
2064,1.15,idle
2065,0.02,idle
2074,-1.34,idle
2074,-2.02,idle
2074,-1.63,idle
2074,-0.54,idle
2074,0.52,idle
2084,1.14,idle
2084,1.36,idle
2084,1.33,idle
2084,0.92,idle
2084,0.01,idle
2094,-1.11,idle
2094,-1.8,idle
2094,-1.66,idle
2094,-0.77,idle
2094,0.37,idle
2104,1.22,idle
2104,1.52,idle
2104,1.36,idle
2104,0.86,idle
2104,0.01,idle
2114,-1.02,idle
2114,-1.8,idle
2114,-1.83,idle
2114,-0.94,idle
2114,0.41,idle
2124,1.47,idle
2124,1.76,idle
2124,1.37,idle
2124,0.6,idle
2124,-0.31,idle
2132,-1.13,idle
2132,-1.58,idle
2133,-1.46,idle
2133,-0.77,idle
2133,0.24,idle
2144,1.13,idle
2144,1.57,idle
2144,1.48,idle
2144,0.88,idle
2144,-0.13,idle
2152,-1.23,idle
2152,-1.83,idle
2152,-1.57,idle
2152,-0.58,idle
2164,0.51,idle
2164,1.15,idle
2164,1.29,idle
2164,1.18,idle
2164,0.89,idle
2164,0.18,idle
2172,-0.89,idle
2172,-1.79,idle
2172,-1.87,idle
2172,-0.98,idle
2182,0.38,idle
2182,1.43,idle
2183,1.74,idle
2183,1.39,idle
2183,0.63,idle
2183,-0.31,idle
2193,-1.14,idle
2193,-1.52,idle
2193,-1.33,idle
2193,-0.71,idle
2203,0.11,idle
2203,0.88,idle
2203,1.43,idle
2203,1.6,idle
2203,1.16,idle
2203,0.05,idle
2212,-1.28,idle
2213,-2.02,idle
2213,-1.69,idle
2213,-0.6,idle
2223,0.51,idle
2223,1.16,idle
2223,1.35,idle
2223,1.29,idle
2223,0.95,idle
2223,0.16,idle
2232,-0.96,idle
2232,-1.83,idle
2233,-1.9,idle
2233,-1.01,idle
2243,0.37,idle
2243,1.44,idle
2243,1.75,idle
2243,1.44,idle
2243,0.79,idle
2252,-0.14,idle
2252,-1.22,idle
2252,-1.94,idle
2252,-1.72,idle
2252,-0.59,idle
2263,0.71,idle
2263,1.39,idle
2263,1.33,idle
2263,1.01,idle
2263,0.68,idle
2272,0.1,idle
2272,-0.86,idle
2272,-1.71,idle
2272,-1.74,idle
2272,-0.8,idle
2282,0.47,idle
2283,1.25,idle
2283,1.35,idle
2283,1.15,idle
2283,0.82,idle
2292,0.15,idle
2292,-0.86,idle
2292,-1.67,idle
2292,-1.68,idle
2292,-0.87,idle
2302,0.18,idle
2303,0.93,idle
2303,1.37,idle
2303,1.63,idle
2303,1.42,idle
2312,0.31,idle
2313,-1.36,idle
2313,-2.45,idle
2313,-2.07,idle
2313,-0.52,idle
2322,0.97,idle
2323,1.53,idle
2323,1.31,idle
2323,1.01,idle
2323,0.76,idle
2332,0.11,idle
2332,-1.02,idle
2332,-1.91,idle
2332,-1.76,idle
2332,-0.6,idle
2342,0.69,idle
2342,1.32,idle
2343,1.25,idle
2343,0.95,idle
2343,0.67,idle
2352,0.18,idle
