Time (ms),EMG Value,Label
2013,0.45,idle
2013,0.49,idle
2013,-0.04,idle
2013,-0.63,idle
2021,-0.66,idle
2024,-0.12,idle
2026,0.41,idle
2027,0.5,idle
2030,0.32,idle
2030,0.15,idle
2033,-0.06,idle
2036,-0.38,idle
2037,-0.55,idle
2039,-0.26,idle
2041,0.24,idle
2044,0.39,idle
2046,0.15,idle
2048,-0.0,idle
2050,0.17,idle
2051,0.26,idle
2053,-0.11,idle
2056,-0.61,idle
2056,-0.58,idle
2059,0.05,idle
2062,0.59,idle
2064,0.49,idle
2064,0.02,idle
2067,-0.2,idle
2069,-0.04,idle
2071,0.05,idle
2072,-0.19,idle
2075,-0.45,idle
2077,-0.27,idle
2079,0.3,idle
2080,0.64,idle
2084,0.41,idle
2086,-0.1,idle
2088,-0.37,idle
2089,-0.29,idle
2091,-0.15,idle
2093,-0.12,idle
2096,-0.04,idle
2098,0.2,idle
2100,0.41,idle
2102,0.33,idle
2103,0.01,idle
2106,-0.31,idle
2108,-0.44,idle
2109,-0.36,idle
2111,-0.07,idle
2114,0.36,idle
2116,0.65,idle
2118,0.44,idle
2118,-0.23,idle
2121,-0.75,idle
2124,-0.56,idle
2126,0.18,idle
2127,0.67,idle
2130,0.37,idle
2132,-0.33,idle
2134,-0.61,idle
2136,-0.12,idle
2138,0.64,idle
2139,0.77,idle
2139,0.05,idle
2139,-0.84,idle
2146,-0.98,idle
2148,-0.28,idle
2150,0.54,idle
2151,0.84,idle
2151,0.66,idle
2151,0.31,idle
2158,-0.13,idle
2160,-0.76,idle
2162,-1.27,idle
2164,-1.01,idle
2166,0.28,idle
2168,1.79,idle
2169,2.13,idle
2172,0.62,idle
2174,-1.68,idle
2175,-2.67,idle
2175,-1.35,idle
2180,1.07,idle
2182,2.39,idle
2184,1.63,idle
2185,-0.25,idle
2188,-1.6,idle
2190,-1.57,idle
2192,-0.46,idle
2193,0.75,idle
2196,1.24,idle
2198,0.79,idle
2200,-0.07,idle
2202,-0.61,idle
2204,-0.6,idle
2206,-0.4,idle
2206,-0.25,idle
2209,0.08,idle
2212,0.7,idle
2213,0.99,idle
2214,0.35,idle
2218,-0.79,idle
2219,-1.19,idle
2221,-0.41,idle
2224,0.57,idle
2225,0.64,idle
2227,0.02,idle
2230,-0.15,idle
2231,0.4,idle
2233,0.66,idle
2235,-0.1,idle
2238,-1.18,idle
2240,-1.23,idle
2242,-0.04,idle
2242,1.2,idle
2245,1.34,idle
2247,0.43,idle
2249,-0.59,idle
2250,-0.98,idle
2253,-0.69,idle
2255,-0.08,idle
2257,0.44,idle
2260,0.61,idle
2262,0.39,idle
2264,0.0,idle
2266,-0.29,idle
2267,-0.33,idle
2269,-0.19,idle
2271,-0.05,idle
2272,0.05,idle
2275,0.15,idle
2277,0.24,idle
2280,0.2,idle
2280,-0.02,idle
2283,-0.26,idle
2286,-0.29,idle
2288,-0.06,idle
2288,0.18,idle
2292,0.17,idle
2294,0.0,idle
2296,-0.05,idle
2296,0.07,idle
2300,0.11,idle
2302,-0.03,idle
2304,-0.22,idle
2306,-0.24,idle
2308,-0.03,idle
