Time (ms),EMG Value,Label
2006,0.7,idle
2006,-0.09,idle
2006,-0.8,idle
2006,-0.72,idle
2013,-0.02,idle
2015,0.49,idle
2017,0.31,idle
2019,-0.14,idle
2021,-0.17,idle
2023,0.23,idle
2025,0.42,idle
2028,0.01,idle
2029,-0.58,idle
2031,-0.66,idle
2033,-0.04,idle
2036,0.73,idle
2037,0.88,idle
2039,0.13,idle
2040,-0.87,idle
2043,-1.08,idle
2045,-0.17,idle
2046,0.99,idle
2046,1.17,idle
2051,0.18,idle
2052,-0.95,idle
2055,-1.08,idle
2056,-0.17,idle
2059,0.75,idle
2061,0.8,idle
2063,0.11,idle
2064,-0.48,idle
2067,-0.47,idle
2069,-0.05,idle
2070,0.27,idle
2070,0.26,idle
2075,0.05,idle
2077,-0.13,idle
2079,-0.19,idle
2080,-0.12,idle
2084,0.03,idle
2085,0.2,idle
2087,0.26,idle
2089,0.09,idle
2091,-0.24,idle
2094,-0.44,idle
2095,-0.25,idle
2095,0.24,idle
2099,0.58,idle
2101,0.38,idle
2103,-0.21,idle
2104,-0.58,idle
2107,-0.36,idle
2109,0.16,idle
2111,0.39,idle
2113,0.19,idle
2115,-0.08,idle
2117,-0.12,idle
2119,-0.02,idle
2121,-0.02,idle
2123,-0.1,idle
2125,-0.08,idle
2128,0.11,idle
2129,0.26,idle
2131,0.17,idle
2133,-0.11,idle
2135,-0.34,idle
2137,-0.31,idle
2139,-0.03,idle
2139,0.3,idle
2143,0.49,idle
2145,0.36,idle
2147,-0.11,idle
2149,-0.65,idle
2151,-0.77,idle
2153,-0.18,idle
2155,0.7,idle
2157,1.02,idle
2159,0.39,idle
2161,-0.59,idle
2163,-0.94,idle
2165,-0.36,idle
2167,0.43,idle
2167,0.57,idle
2171,0.04,idle
2173,-0.35,idle
2175,-0.06,idle
2176,0.44,idle
2179,0.35,idle
2181,-0.36,idle
2183,-0.82,idle
2185,-0.4,idle
2187,0.48,idle
2189,0.9,idle
2191,0.47,idle
2193,-0.28,idle
2195,-0.6,idle
2197,-0.36,idle
2199,-0.04,idle
2201,0.0,idle
2203,-0.01,idle
2204,0.26,idle
2207,0.59,idle
2209,0.45,idle
2212,-0.23,idle
2213,-0.83,idle
2215,-0.7,idle
2217,0.05,idle
2218,0.66,idle
2221,0.58,idle
2223,0.06,idle
2225,-0.26,idle
2227,-0.15,idle
2229,-0.01,idle
2231,-0.18,idle
2234,-0.37,idle
2235,-0.11,idle
2237,0.49,idle
2240,0.73,idle
2241,0.22,idle
2244,-0.57,idle
2245,-0.82,idle
2246,-0.29,idle
2249,0.49,idle
2251,0.76,idle
2253,0.3,idle
2254,-0.41,idle
2257,-0.66,idle
2259,-0.21,idle
2261,0.47,idle
2261,0.64,idle
2265,0.04,idle
2267,-0.69,idle
2270,-0.66,idle
2271,0.22,idle
2273,0.97,idle
2275,0.64,idle
2277,-0.47,idle
2279,-1.1,idle
2286,-0.52,idle
2286,0.57,idle
2287,0.92,idle
2287,0.24,idle
2289,-0.51,idle
2291,-0.42,idle
2293,0.24,idle
2294,0.45,idle
2294,-0.15,idle
2299,-0.78,idle
2301,-0.52,idle
2303,0.47,idle
2304,1.12,idle
2307,0.67,idle
2309,-0.44,idle
2311,-1.07,idle
2313,-0.69,idle
2315,0.22,idle
2317,0.74,idle
2319,0.51,idle
2321,-0.06,idle
2323,-0.36,idle
2325,-0.23,idle
2327,0.01,idle
2329,0.06,idle
2331,0.01,idle
2331,0.07,idle
2335,0.15,idle
2337,0.0,idle
2339,-0.24,idle
2340,-0.21,idle
2343,0.13,idle
2345,0.32,idle
2347,0.08,idle
2349,-0.29,idle
2350,-0.23,idle
2353,0.23,idle
2355,0.42,idle
2357,-0.03,idle
2359,-0.58,idle
2361,-0.44,idle
2361,0.29,idle
2365,0.73,idle
2367,0.34,idle
2370,-0.44,idle
2371,-0.66,idle
2373,-0.07,idle
2375,0.56,idle
2376,0.42,idle
2379,-0.3,idle
2381,-0.69,idle
2383,-0.29,idle
2385,0.47,idle
2387,0.82,idle
2389,0.43,idle
2391,-0.32,idle
2393,-0.8,idle
2395,-0.63,idle
2397,-0.01,idle
2399,0.52,idle
2401,0.6,idle
2403,0.27,idle
2403,-0.16,idle
2407,-0.35,idle
2409,-0.2,idle
2411,0.05,idle
2412,0.07,idle
2415,-0.12,idle
2417,-0.18,idle
2419,0.06,idle
2421,0.3,idle
2424,0.21,idle
2425,-0.05,idle
2427,-0.09,idle
2428,0.06,idle
2431,0.01,idle
2433,-0.34,idle
2435,-0.48,idle
2435,-0.04,idle
2439,0.63,idle
2441,0.76,idle
2443,0.13,idle
2444,-0.65,idle
2447,-0.76,idle
2449,-0.13,idle
2451,0.54,idle
2452,0.55,idle
2455,-0.05,idle
2457,-0.51,idle
2459,-0.24,idle
2459,0.4,idle
2463,0.54,idle
2465,-0.06,idle
2467,-0.64,idle
2467,-0.47,idle
2471,0.17,idle
2473,0.52,idle
2476,0.31,idle
2476,-0.04,idle
2479,-0.16,idle
2481,-0.13,idle
2483,-0.15,idle
2485,-0.2,idle
2487,-0.07,idle
2490,0.22,idle
2490,0.41,idle
2493,0.28,idle
2495,-0.13,idle
2497,-0.48,idle
2499,-0.43,idle
2501,-0.0,idle
2503,0.41,idle
2504,0.45,idle
2507,0.12,idle
2509,-0.25,idle
2511,-0.36,idle
2513,-0.2,idle
2515,0.09,idle
2517,0.26,idle
2519,0.19,idle
2521,-0.01,idle
2523,-0.12,idle
2525,-0.07,idle
2527,-0.04,idle
2529,-0.13,idle
2531,-0.11,idle
2532,0.19,idle
2535,0.46,idle
2537,0.26,idle
2539,-0.33,idle
2541,-0.68,idle
2543,-0.37,idle
2545,0.28,idle
2545,0.61,idle
2549,0.38,idle
2551,0.02,idle
2553,-0.13,idle
2555,-0.23,idle
2557,-0.46,idle
2559,-0.55,idle
2561,-0.11,idle
2561,0.66,idle
2561,1.04,idle
2567,0.56,idle
2569,-0.46,idle
2571,-1.13,idle
2573,-0.82,idle
2573,0.15,idle
2573,0.82,idle
2579,0.64,idle
2581,-0.02,idle
2583,-0.4,idle
2585,-0.23,idle
2585,0.14,idle
2585,0.2,idle
2591,-0.11,idle
2593,-0.36,idle
2595,-0.18,idle
2597,0.26,idle
2599,0.43,idle
2601,0.14,idle
2603,-0.28,idle
2605,-0.35,idle
2607,-0.02,idle
2609,0.31,idle
2610,0.24,idle
2613,-0.14,idle
2615,-0.34,idle
2617,-0.12,idle
2619,0.23,idle
2621,0.3,idle
2623,0.05,idle
2625,-0.2,idle
2627,-0.22,idle
2629,-0.02,idle
2631,0.15,idle
2633,0.14,idle
2635,-0.0,idle
2637,-0.11,idle
2639,-0.11,idle
2641,-0.02,idle
2643,0.11,idle
2645,0.15,idle
2646,0.04,idle
2649,-0.12,idle
2651,-0.18,idle
2653,-0.08,idle
2653,0.07,idle
2657,0.16,idle
2659,0.14,idle
2661,0.04,idle
2661,-0.11,idle
2665,-0.23,idle
2667,-0.16,idle
2669,0.11,idle
2671,0.33,idle
2673,0.21,idle
2675,-0.17,idle
2677,-0.41,idle
2679,-0.22,idle
2681,0.23,idle
2682,0.49,idle
2685,0.24,idle
2687,-0.26,idle
2690,-0.51,idle
2692,-0.25,idle
2693,0.2,idle
2695,0.39,idle
2696,0.19,idle
2699,-0.05,idle
2701,-0.05,idle
2704,0.01,idle
2704,-0.16,idle
2707,-0.41,idle
2709,-0.31,idle
2711,0.23,idle
2713,0.71,idle
2715,0.6,idle
2717,-0.06,idle
2719,-0.69,idle
2721,-0.74,idle
2723,-0.21,idle
2725,0.41,idle
2727,0.65,idle
2729,0.4,idle
2731,-0.05,idle
2733,-0.37,idle
2735,-0.36,idle
2737,-0.13,idle
2739,0.07,idle
2741,0.09,idle
2743,0.05,idle
2745,0.08,idle
2747,0.15,idle
2749,0.14,idle
2751,0.01,idle
2753,-0.17,idle
2755,-0.24,idle
2755,-0.17,idle
2759,-0.03,idle
2761,0.08,idle
2763,0.17,idle
2764,0.25,idle
2767,0.27,idle
2769,0.08,idle
2771,-0.29,idle
2773,-0.56,idle
2775,-0.43,idle
2777,0.11,idle
2779,0.63,idle
2781,0.63,idle
2783,0.09,idle
2785,-0.48,idle
2785,-0.57,idle
2789,-0.16,idle
2791,0.3,idle
2793,0.37,idle
2795,0.09,idle
2797,-0.19,idle
2799,-0.2,idle
2801,-0.03,idle
2803,0.1,idle
2805,0.1,idle
2807,0.09,idle
2809,0.09,idle
2811,-0.03,idle
2812,-0.27,idle
2815,-0.35,idle
2817,-0.04,idle
2819,0.46,idle
2820,0.58,idle
2823,0.07,idle
2825,-0.62,idle
2827,-0.68,idle
2829,0.02,idle
2831,0.74,idle
2833,0.64,idle
2834,-0.18,idle
2837,-0.8,idle
2839,-0.52,idle
2841,0.36,idle
2843,0.83,idle
2845,0.35,idle
2847,-0.54,idle
2847,-0.83,idle
2851,-0.2,idle
2853,0.66,idle
2855,0.85,idle
2855,0.23,idle
2859,-0.57,idle
2861,-0.82,idle
2863,-0.41,idle
2865,0.23,idle
2867,0.62,idle
2869,0.57,idle
2871,0.2,idle
2873,-0.23,idle
2875,-0.5,idle
2876,-0.51,idle
2876,-0.25,idle
2876,0.16,idle
2883,0.51,idle
2885,0.56,idle
2887,0.25,idle
2889,-0.23,idle
