Time (ms),EMG Value,Label
2013,0.32,idle
2015,0.62,idle
2015,0.58,idle
2015,0.19,idle
2015,-0.32,idle
2023,-0.67,idle
2025,-0.59,idle
2027,-0.05,idle
2028,0.52,idle
2030,0.62,idle
2032,0.18,idle
2035,-0.31,idle
2036,-0.39,idle
2038,-0.11,idle
2038,0.14,idle
2043,0.15,idle
2043,0.05,idle
2047,-0.0,idle
2049,-0.02,idle
2049,-0.1,idle
2053,-0.16,idle
2055,0.02,idle
2057,0.3,idle
2059,0.25,idle
2061,-0.2,idle
2063,-0.55,idle
2064,-0.25,idle
2067,0.5,idle
2068,0.83,idle
2071,0.21,idle
2073,-0.78,idle
2075,-1.05,idle
2077,-0.26,idle
2079,0.78,idle
2081,1.04,idle
2083,0.42,idle
2085,-0.33,idle
2085,-0.64,idle
2089,-0.63,idle
2091,-0.5,idle
2092,-0.05,idle
2093,0.73,idle
2097,1.18,idle
2098,0.63,idle
2100,-0.56,idle
2103,-1.23,idle
2105,-0.77,idle
2107,0.22,idle
2109,0.7,idle
2111,0.42,idle
2113,0.0,idle
2115,-0.02,idle
2117,0.14,idle
2119,-0.02,idle
2121,-0.47,idle
2122,-0.56,idle
2125,0.0,idle
2127,0.67,idle
2129,0.68,idle
2130,-0.01,idle
2133,-0.68,idle
2134,-0.65,idle
2137,-0.03,idle
2138,0.52,idle
2140,0.53,idle
2143,0.16,idle
2145,-0.14,idle
2146,-0.24,idle
2149,-0.28,idle
2151,-0.32,idle
2153,-0.15,idle
2155,0.28,idle
2157,0.58,idle
2158,0.37,idle
2161,-0.19,idle
2163,-0.49,idle
2164,-0.28,idle
2165,0.13,idle
2169,0.26,idle
2171,0.01,idle
2173,-0.22,idle
2174,-0.09,idle
2177,0.24,idle
2179,0.28,idle
2181,-0.05,idle
2182,-0.31,idle
2185,-0.1,idle
2187,0.31,idle
2189,0.29,idle
2191,-0.27,idle
2193,-0.71,idle
2195,-0.37,idle
2197,0.49,idle
2199,1.0,idle
2201,0.62,idle
2203,-0.3,idle
2205,-0.96,idle
2207,-0.87,idle
2209,-0.16,idle
2211,0.64,idle
2213,0.91,idle
2213,0.37,idle
2217,-0.48,idle
2219,-0.71,idle
2221,-0.06,idle
2221,0.66,idle
2225,0.5,idle
2227,-0.39,idle
2228,-0.93,idle
2231,-0.45,idle
2233,0.52,idle
2235,0.92,idle
2237,0.38,idle
2237,-0.44,idle
2237,-0.62,idle
2243,-0.07,idle
2245,0.47,idle
2247,0.3,idle
2247,-0.36,idle
2251,-0.67,idle
2253,-0.17,idle
2255,0.61,idle
2257,0.76,idle
2259,0.07,idle
2261,-0.61,idle
2263,-0.5,idle
2265,0.17,idle
2267,0.47,idle
2267,0.06,idle
2271,-0.45,idle
