Time (ms),EMG Value,Label
2001,-0.42,idle
2001,-0.56,idle
2001,-0.15,idle
2001,0.5,idle
2001,0.78,idle
2011,0.4,idle
2011,-0.34,idle
2011,-0.78,idle
2011,-0.56,idle
2011,0.07,idle
2021,0.49,idle
2021,0.39,idle
2021,0.02,idle
2021,-0.17,idle
2021,-0.05,idle
2031,0.09,idle
2031,0.02,idle
2031,-0.16,idle
2031,-0.16,idle
2031,0.09,idle
2039,0.32,idle
2039,0.12,idle
2039,-0.45,idle
2040,-0.75,idle
2040,-0.16,idle
2049,0.96,idle
2049,1.45,idle
2050,0.54,idle
2050,-1.14,idle
2050,-1.99,idle
2059,-1.09,idle
2059,0.78,idle
2060,1.91,idle
2060,1.36,idle
2060,-0.2,idle
2069,-1.25,idle
2069,-1.04,idle
2069,-0.13,idle
2070,0.48,idle
2079,0.42,idle
2079,0.11,idle
2079,-0.02,idle
2080,0.03,idle
2080,0.01,idle
2089,-0.11,idle
2089,-0.15,idle
2090,-0.03,idle
2090,0.13,idle
2090,0.13,idle
2099,-0.02,idle
2099,-0.16,idle
2099,-0.16,idle
2099,-0.01,idle
2099,0.16,idle
2109,0.19,idle
2109,0.06,idle
2109,-0.1,idle
2109,-0.11,idle
2109,0.02,idle
2119,0.08,idle
2119,-0.05,idle
2119,-0.24,idle
2119,-0.19,idle
2119,0.1,idle
2129,0.34,idle
2129,0.28,idle
2129,0.04,idle
2129,-0.11,idle
2129,-0.12,idle
2138,-0.17,idle
2138,-0.33,idle
2138,-0.39,idle
2138,-0.04,idle
2138,0.59,idle
2148,0.91,idle
2148,0.48,idle
2148,-0.4,idle
2148,-0.91,idle
2158,-0.63,idle
2158,-0.01,idle
2158,0.31,idle
2158,0.24,idle
2158,0.16,idle
2158,0.3,idle
2167,0.37,idle
2168,0.08,idle
2168,-0.42,idle
2168,-0.65,idle
2177,-0.35,idle
2177,0.2,idle
2178,0.48,idle
2178,0.27,idle
2178,-0.09,idle
2187,-0.19,idle
2188,0.05,idle
2188,0.26,idle
2188,0.11,idle
2188,-0.26,idle
2197,-0.42,idle
2197,-0.15,idle
2198,0.25,idle
2198,0.34,idle
2198,0.05,idle
2207,-0.25,idle
2208,-0.16,idle
2208,0.19,idle
2208,0.37,idle
2208,0.13,idle
2217,-0.3,idle
2218,-0.48,idle
2218,-0.24,idle
2218,0.17,idle
2218,0.34,idle
2227,0.17,idle
2228,-0.01,idle
