Time (ms),EMG Value,Label
2000,0.09,idle
2002,-0.26,idle
2004,-0.37,idle
2006,-0.09,idle
2008,0.23,idle
2009,0.28,idle
2011,0.15,idle
2013,0.03,idle
2015,-0.07,idle
2017,-0.24,idle
2019,-0.31,idle
2021,-0.1,idle
2023,0.27,idle
2026,0.42,idle
2028,0.18,idle
2029,-0.17,idle
2032,-0.33,idle
2033,-0.23,idle
2035,-0.05,idle
2038,0.14,idle
2040,0.3,idle
2042,0.32,idle
2044,0.1,idle
2046,-0.3,idle
2048,-0.56,idle
2050,-0.37,idle
2052,0.17,idle
2054,0.59,idle
2056,0.55,idle
2058,0.13,idle
2060,-0.35,idle
2062,-0.6,idle
2064,-0.48,idle
2066,-0.05,idle
2068,0.47,idle
2070,0.71,idle
2072,0.42,idle
2074,-0.23,idle
2076,-0.71,idle
2078,-0.57,idle
2080,0.03,idle
2082,0.49,idle
2084,0.42,idle
2086,0.04,idle
2088,-0.15,idle
2089,-0.04,idle
2091,0.0,idle
2094,-0.24,idle
2095,-0.4,idle
2098,-0.07,idle
2100,0.54,idle
2102,0.69,idle
2104,0.1,idle
2106,-0.61,idle
2108,-0.66,idle
2110,-0.09,idle
2112,0.39,idle
2114,0.34,idle
2116,0.05,idle
2118,-0.04,idle
2120,0.07,idle
2122,0.05,idle
2124,-0.23,idle
2126,-0.41,idle
2128,-0.14,idle
2130,0.39,idle
2132,0.54,idle
2134,0.1,idle
2136,-0.44,idle
2138,-0.45,idle
2140,0.02,idle
2142,0.41,idle
2144,0.31,idle
2146,-0.09,idle
2148,-0.33,idle
2150,-0.22,idle
2152,0.03,idle
2154,0.17,idle
2156,0.16,idle
2158,0.1,idle
2160,0.01,idle
2162,-0.09,idle
2164,-0.12,idle
2166,-0.03,idle
2168,-0.01,idle
2170,-0.14,idle
2172,-0.19,idle
2174,0.09,idle
2176,0.51,idle
2178,0.56,idle
2180,-0.01,idle
2182,-0.7,idle
2184,-0.79,idle
2186,-0.15,idle
2188,0.56,idle
2190,0.65,idle
2192,0.16,idle
2194,-0.25,idle
2196,-0.2,idle
2198,0.06,idle
2200,0.03,idle
2202,-0.3,idle
2204,-0.39,idle
2206,0.04,idle
2208,0.58,idle
2210,0.6,idle
2212,-0.01,idle
2214,-0.6,idle
2216,-0.58,idle
2218,-0.01,idle
2220,0.47,idle
2222,0.4,idle
2224,-0.05,idle
2226,-0.35,idle
2228,-0.22,idle
2230,0.12,idle
2232,0.27,idle
2234,0.11,idle
2236,-0.15,idle
2238,-0.25,idle
2240,-0.11,idle
2242,0.14,idle
2244,0.3,idle
2246,0.21,idle
2248,-0.13,idle
2250,-0.43,idle
2252,-0.35,idle
2254,0.11,idle
2256,0.55,idle
2257,0.49,idle
2260,-0.04,idle
2262,-0.56,idle
2264,-0.59,idle
2265,-0.12,idle
2268,0.44,idle
2270,0.62,idle
2272,0.29,idle
2274,-0.24,idle
2276,-0.51,idle
2278,-0.33,idle
2280,0.06,idle
2282,0.31,idle
2284,0.27,idle
2286,0.05,idle
2288,-0.16,idle
2290,-0.21,idle
2292,-0.06,idle
2294,0.12,idle
2296,0.16,idle
2298,0.0,idle
2300,-0.19,idle
2302,-0.14,idle
2304,0.16,idle
2306,0.35,idle
2308,0.08,idle
2310,-0.44,idle
2312,-0.55,idle
2314,0.02,idle
2316,0.67,idle
2318,0.67,idle
2320,-0.0,idle
2322,-0.64,idle
2324,-0.64,idle
2326,-0.1,idle
2328,0.4,idle
2329,0.45,idle
2331,0.14,idle
2333,-0.15,idle
2336,-0.19,idle
2338,-0.07,idle
2340,0.01,idle
2342,0.02,idle
2344,0.01,idle
2346,0.01,idle
2348,-0.03,idle
2350,-0.06,idle
2351,0.01,idle
2353,0.16,idle
2356,0.19,idle
2358,-0.02,idle
2360,-0.28,idle
2362,-0.28,idle
2364,0.02,idle
2366,0.31,idle
2368,0.27,idle
2370,-0.05,idle
2372,-0.28,idle
2374,-0.14,idle
2376,0.17,idle
2378,0.21,idle
2380,-0.1,idle
2382,-0.34,idle
2384,-0.11,idle
2386,0.36,idle
2388,0.41,idle
2390,-0.08,idle
2392,-0.51,idle
2394,-0.28,idle
2396,0.34,idle
2398,0.53,idle
2400,-0.0,idle
2402,-0.59,idle
2404,-0.46,idle
2406,0.29,idle
2408,0.73,idle
2409,0.3,idle
2411,-0.49,idle
2414,-0.69,idle
2415,-0.07,idle
2417,0.57,idle
2420,0.48,idle
2421,-0.16,idle
2423,-0.53,idle
2425,-0.23,idle
2427,0.32,idle
2429,0.42,idle
2431,0.01,idle
2433,-0.37,idle
2436,-0.28,idle
2438,0.12,idle
2440,0.36,idle
2442,0.2,idle
2444,-0.16,idle
2446,-0.34,idle
2448,-0.19,idle
2450,0.11,idle
2452,0.28,idle
2454,0.22,idle
2456,0.04,idle
2458,-0.12,idle
2460,-0.18,idle
2462,-0.17,idle
2464,-0.08,idle
2466,0.05,idle
2468,0.15,idle
2470,0.15,idle
2472,0.07,idle
2474,-0.01,idle
2476,-0.04,idle
