Time (ms),EMG Value,Label
2001,-1.14,idle
2002,-0.49,idle
2002,1.24,idle
2002,1.5,idle
2011,-1.04,idle
2012,-4.01,idle
2012,-3.53,idle
2012,1.0,idle
2012,5.5,idle
2021,5.43,idle
2022,0.71,idle
2022,-4.21,idle
2022,-5.21,idle
2022,-2.32,idle
2031,1.26,idle
2031,2.85,idle
2032,2.34,idle
2032,1.09,idle
2032,-0.03,idle
2041,-0.99,idle
2041,-1.68,idle
2041,-1.53,idle
2041,-0.38,idle
2041,0.99,idle
2051,1.49,idle
2051,0.85,idle
2051,-0.2,idle
2051,-0.76,idle
2051,-0.63,idle
2061,-0.17,idle
2061,0.24,idle
2061,0.48,idle
2061,0.43,idle
2061,-0.01,idle
2071,-0.58,idle
2071,-0.73,idle
2071,-0.22,idle
2071,0.53,idle
2071,0.72,idle
2081,0.16,idle
2081,-0.43,idle
2081,-0.2,idle
2081,0.65,idle
2081,0.92,idle
2090,-0.13,idle
2090,-1.66,idle
2090,-1.97,idle
2090,-0.43,idle
2099,1.66,idle
2099,2.37,idle
2100,1.18,idle
2100,-0.53,idle
2100,-1.11,idle
2109,-0.52,idle
2109,-0.18,idle
2109,-0.88,idle
2109,-1.5,idle
2109,-0.57,idle
2119,1.54,idle
2119,2.65,idle
2119,1.43,idle
2119,-0.79,idle
2120,-1.55,idle
2129,-0.25,idle
2129,1.04,idle
2129,0.14,idle
2129,-2.32,idle
2129,-3.34,idle
2139,-1.07,idle
2139,2.87,idle
2139,4.94,idle
2139,3.43,idle
2139,-0.11,idle
2148,-2.86,idle
2148,-3.51,idle
2148,-2.67,idle
2148,-1.33,idle
2158,0.24,idle
2158,1.91,idle
2158,3.0,idle
2158,2.72,idle
2158,1.17,idle
2158,-0.63,idle
2168,-1.77,idle
2168,-2.14,idle
2168,-2.1,idle
2168,-1.71,idle
2177,-0.6,idle
2178,1.28,idle
2178,3.03,idle
2178,3.4,idle
2178,1.94,idle
2187,-0.44,idle
2187,-2.27,idle
2187,-2.79,idle
2187,-2.31,idle
2187,-1.49,idle
2197,-0.38,idle
2198,1.24,idle
2198,2.95,idle
2198,3.58,idle
2198,2.26,idle
2206,-0.42,idle
2206,-2.7,idle
2206,-3.23,idle
2206,-2.21,idle
2206,-0.88,idle
2217,0.0,idle
2218,0.83,idle
2218,2.09,idle
2218,3.29,idle
2218,3.2,idle
2226,1.12,idle
2226,-2.15,idle
2226,-4.68,idle
2226,-4.76,idle
2226,-2.25,idle
2237,1.27,idle
2237,3.8,idle
2238,4.48,idle
2238,3.57,idle
2238,1.39,idle
2245,-1.82,idle
2246,-4.79,idle
2246,-5.32,idle
2246,-2.45,idle
2246,1.91,idle
2256,4.37,idle
2256,3.36,idle
2256,0.59,idle
2256,-1.02,idle
2256,-0.57,idle
2266,0.3,idle
2266,-0.13,idle
2266,-1.51,idle
2266,-2.15,idle
2276,-1.26,idle
2276,0.29,idle
2276,1.3,idle
2276,1.54,idle
2276,1.53,idle
2276,1.49,idle
2286,0.97,idle
2286,-0.42,idle
2286,-2.16,idle
