Time (ms),EMG Value,Label
2002,3.44,idle
2002,1.85,idle
2002,-1.53,idle
2009,-3.31,idle
2010,-1.77,idle
2013,1.21,idle
2015,2.39,idle
2016,0.85,idle
2019,-1.27,idle
2019,-1.49,idle
2022,0.31,idle
2025,1.9,idle
2026,1.15,idle
2029,-1.42,idle
2031,-2.82,idle
2032,-1.04,idle
2034,2.2,idle
2036,3.24,idle
2039,0.84,idle
2041,-2.34,idle
2043,-3.02,idle
2043,-0.71,idle
2046,2.16,idle
2048,2.78,idle
2051,0.48,idle
2051,-2.34,idle
2054,-2.47,idle
2057,0.36,idle
2059,2.77,idle
2059,1.75,idle
2063,-1.54,idle
2065,-3.06,idle
2066,-0.94,idle
2068,2.28,idle
2070,2.87,idle
2072,0.44,idle
2075,-1.98,idle
2077,-1.97,idle
2079,-0.26,idle
2079,0.82,idle
2083,0.5,idle
2085,0.03,idle
2086,0.39,idle
2087,0.82,idle
2091,0.3,idle
2092,-0.8,idle
2094,-1.16,idle
2095,-0.37,idle
2099,0.42,idle
2101,0.13,idle
2102,-0.47,idle
2105,0.23,idle
2107,1.83,idle
2108,1.95,idle
2111,-0.53,idle
2113,-3.33,idle
2115,-3.18,idle
2116,0.22,idle
2116,3.51,idle
2116,3.34,idle
2122,0.19,idle
2125,-2.44,idle
2127,-2.23,idle
2128,-0.31,idle
2128,0.86,idle
2128,0.61,idle
2135,0.14,idle
2137,0.32,idle
2139,0.59,idle
2140,0.14,idle
2140,-0.77,idle
2140,-1.02,idle
2147,-0.23,idle
2149,0.68,idle
2151,0.72,idle
2152,0.08,idle
2152,-0.3,idle
2152,-0.09,idle
2159,0.19,idle
2161,-0.01,idle
2163,-0.59,idle
2164,-0.74,idle
2167,0.17,idle
2169,1.33,idle
2170,1.15,idle
2170,-0.5,idle
2175,-1.65,idle
2177,-0.81,idle
2179,0.94,idle
2179,1.37,idle
2183,0.01,idle
2185,-1.33,idle
2187,-0.99,idle
2189,0.55,idle
2191,1.55,idle
2193,1.1,idle
2194,-0.22,idle
2197,-1.44,idle
2199,-2.0,idle
2200,-1.25,idle
2201,1.06,idle
2204,3.4,idle
2206,3.1,idle
2208,-0.44,idle
2211,-4.17,idle
2212,-4.24,idle
2214,-0.34,idle
2214,3.66,idle
2218,3.91,idle
2220,0.74,idle
2222,-2.18,idle
2222,-2.22,idle
2227,-0.34,idle
2229,0.78,idle
2230,0.19,idle
2233,-0.62,idle
2235,-0.18,idle
2237,0.97,idle
2237,1.28,idle
2241,0.41,idle
2243,-0.62,idle
2245,-0.97,idle
2245,-0.78,idle
2249,-0.53,idle
2251,-0.18,idle
2253,0.53,idle
2254,1.31,idle
2257,1.37,idle
2259,0.34,idle
2261,-1.08,idle
2263,-1.76,idle
2265,-1.24,idle
2267,0.07,idle
2267,1.28,idle
2270,1.56,idle
2273,0.79,idle
2275,-0.34,idle
2275,-1.04,idle
2279,-1.0,idle
2280,-0.42,idle
2283,0.26,idle
2283,0.69,idle
2287,0.7,idle
2289,0.23,idle
2291,-0.49,idle
2293,-0.77,idle
2295,-0.02,idle
2297,0.94,idle
2298,0.54,idle
2300,-1.07,idle
2302,-1.56,idle
2304,0.38,idle
2305,2.5,idle
2308,1.59,idle
2310,-1.81,idle
2313,-3.41,idle
2313,-0.8,idle
2316,3.02,idle
2319,3.35,idle
2320,-0.23,idle
2322,-3.47,idle
2324,-2.73,idle
2326,0.85,idle
2328,3.21,idle
2331,2.13,idle
2333,-0.73,idle
2334,-2.37,idle
2337,-1.78,idle
2339,-0.18,idle
2340,1.06,idle
2340,1.6,idle
2345,1.47,idle
2347,0.48,idle
2349,-1.23,idle
2349,-2.45,idle
2352,-1.85,idle
2355,0.44,idle
2357,2.61,idle
2358,2.7,idle
2361,0.54,idle
2363,-2.03,idle
2364,-2.86,idle
2367,-1.33,idle
2369,1.25,idle
2371,2.69,idle
2373,1.66,idle
2375,-0.97,idle
2376,-2.67,idle
2376,-1.59,idle
2380,1.33,idle
2383,2.99,idle
2385,1.44,idle
2387,-1.78,idle
2389,-3.27,idle
2390,-1.48,idle
2391,1.76,idle
2395,3.24,idle
2397,1.6,idle
2399,-1.39,idle
2401,-2.77,idle
2403,-1.41,idle
2405,0.94,idle
2406,1.83,idle
2408,0.83,idle
2410,-0.34,idle
2412,-0.48,idle
2413,-0.27,idle
2417,-0.5,idle
2418,-0.68,idle
2420,-0.06,idle
2421,0.96,idle
2424,1.26,idle
2427,0.43,idle
2429,-0.75,idle
2429,-1.28,idle
2433,-0.88,idle
2435,0.11,idle
2437,1.0,idle
2437,1.01,idle
2441,0.13,idle
2443,-0.63,idle
2445,-0.42,idle
2445,0.27,idle
2449,0.32,idle
2451,-0.39,idle
2453,-0.84,idle
2454,-0.31,idle
2457,0.65,idle
2459,1.04,idle
2461,0.57,idle
2463,-0.23,idle
2465,-0.8,idle
2467,-0.81,idle
2467,-0.26,idle
2471,0.46,idle
2472,0.67,idle
2475,0.22,idle
2475,-0.18,idle
2479,-0.01,idle
2481,0.3,idle
2483,0.04,idle
2483,-0.68,idle
2486,-0.94,idle
2488,-0.15,idle
2490,0.98,idle
2492,1.23,idle
2494,0.42,idle
2496,-0.61,idle
2498,-1.22,idle
2499,-1.07,idle
2502,0.07,idle
2504,1.48,idle
2507,1.71,idle
2508,0.31,idle
2510,-1.48,idle
2513,-2.04,idle
2514,-0.91,idle
2516,0.94,idle
2519,1.96,idle
2521,1.39,idle
2522,-0.09,idle
2525,-1.27,idle
2527,-1.41,idle
2528,-0.62,idle
2528,0.43,idle
2533,1.01,idle
2534,0.77,idle
2537,0.08,idle
2537,-0.39,idle
2541,-0.42,idle
2543,-0.38,idle
2545,-0.37,idle
2547,-0.03,idle
2549,0.68,idle
2551,1.02,idle
2552,0.38,idle
2555,-0.8,idle
2557,-1.31,idle
2558,-0.6,idle
2558,0.65,idle
2562,1.19,idle
2565,0.57,idle
2567,-0.46,idle
2567,-0.81,idle
2570,-0.27,idle
2572,0.37,idle
2574,0.38,idle
2576,-0.01,idle
2578,-0.22,idle
2580,-0.1,idle
2583,0.07,idle
2584,0.03,idle
2586,-0.25,idle
2588,-0.38,idle
2588,0.16,idle
2592,1.03,idle
2594,1.01,idle
2596,-0.38,idle
2597,-1.77,idle
2601,-1.48,idle
2602,0.36,idle
2604,1.86,idle
2607,1.55,idle
2607,-0.09,idle
2610,-1.35,idle
2612,-1.21,idle
2614,-0.09,idle
2616,0.73,idle
2618,0.52,idle
2619,-0.18,idle
2622,-0.31,idle
2624,0.29,idle
2626,0.67,idle
2627,0.13,idle
2630,-0.7,idle
2632,-0.75,idle
2634,0.01,idle
2637,0.5,idle
2638,-0.0,idle
2640,-0.65,idle
2643,-0.05,idle
2643,1.5,idle
2647,1.91,idle
2649,-0.07,idle
2651,-2.85,idle
2651,-3.29,idle
2655,-0.24,idle
2657,3.45,idle
2659,3.72,idle
2660,0.2,idle
2663,-3.01,idle
2665,-2.46,idle
2667,0.48,idle
2668,1.77,idle
2671,0.2,idle
2673,-1.43,idle
2674,-0.52,idle
2677,1.74,idle
2679,2.15,idle
2679,-0.11,idle
2683,-2.42,idle
2685,-2.25,idle
2686,-0.25,idle
2687,1.4,idle
2691,1.93,idle
2693,1.75,idle
2695,0.64,idle
2696,-1.6,idle
2699,-3.39,idle
2701,-2.37,idle
2703,1.26,idle
2704,3.96,idle
2707,2.8,idle
2709,-0.89,idle
2710,-3.13,idle
2713,-2.0,idle
2715,0.63,idle
2716,1.76,idle
2717,0.59,idle
2721,-0.97,idle
2722,-0.74,idle
2725,0.88,idle
2725,1.6,idle
2728,0.34,idle
2731,-1.43,idle
2733,-1.81,idle
2734,-0.57,idle
2737,0.92,idle
2739,1.23,idle
2741,0.43,idle
2743,-0.05,idle
2745,0.41,idle
2746,0.49,idle
2748,-0.84,idle
2750,-2.16,idle
2752,-1.4,idle
2752,1.11,idle
2757,2.73,idle
2758,1.73,idle
2760,-0.75,idle
2761,-2.1,idle
2765,-1.22,idle
2767,0.48,idle
2769,0.99,idle
2771,0.12,idle
2772,-0.63,idle
2775,-0.19,idle
2776,0.87,idle
2779,1.12,idle
2781,0.06,idle
2782,-1.25,idle
2782,-1.53,idle
2787,-0.73,idle
2788,0.43,idle
2790,1.5,idle
2791,2.12,idle
2795,1.52,idle
2797,-0.79,idle
2797,-3.53,idle
2800,-3.93,idle
2801,-0.53,idle
2801,4.23,idle
2807,5.61,idle
2807,1.78,idle
2809,-3.68,idle
2812,-5.56,idle
2813,-2.5,idle
2813,2.12,idle
2813,4.04,idle
2821,2.28,idle
2822,-0.67,idle
2825,-1.97,idle
2825,-1.16,idle
2825,0.15,idle
2830,0.47,idle
2833,-0.19,idle
2834,-0.61,idle
2837,0.06,idle
2839,1.13,idle
2841,1.14,idle
2843,-0.15,idle
2843,-1.23,idle
2847,-0.83,idle
2849,0.3,idle
2851,0.59,idle
2851,-0.08,idle
2855,-0.51,idle
2857,0.03,idle
2859,0.79,idle
2861,0.73,idle
2863,-0.11,idle
2865,-0.93,idle
2867,-1.13,idle
2869,-0.42,idle
2871,0.95,idle
2873,1.76,idle
2873,0.89,idle
2876,-1.06,idle
2879,-2.1,idle
2880,-1.02,idle
2883,1.17,idle
2885,2.06,idle
2886,0.61,idle
2887,-1.45,idle
2891,-1.64,idle
2892,0.19,idle
2895,1.7,idle
2896,1.09,idle
2899,-0.77,idle
2901,-1.62,idle
2903,-0.71,idle
2905,0.7,idle
2907,1.14,idle
2909,0.55,idle
2910,-0.14,idle
2913,-0.43,idle
2915,-0.51,idle
2916,-0.5,idle
2917,-0.12,idle
2921,0.52,idle
2923,0.77,idle
2925,0.3,idle
2925,-0.34,idle
2929,-0.52,idle
2931,-0.35,idle
2932,-0.26,idle
2934,-0.16,idle
2936,0.39,idle
2938,1.25,idle
2941,1.36,idle
2943,-0.19,idle
2945,-2.43,idle
2946,-2.83,idle
2946,-0.22,idle
2946,3.19,idle
2952,3.76,idle
2955,0.51,idle
2957,-3.27,idle
2958,-3.51,idle
2958,-0.1,idle
2958,3.05,idle
2964,2.46,idle
2967,-1.1,idle
2969,-3.34,idle
2970,-1.34,idle
2970,2.7,idle
2970,3.81,idle
2976,0.47,idle
2979,-3.35,idle
2981,-3.33,idle
2982,-0.11,idle
2985,2.21,idle
2987,1.59,idle
2988,-0.04,idle
2990,-0.33,idle
2993,0.48,idle
2994,0.69,idle
2995,-0.34,idle
2999,-1.67,idle
3001,-2.02,idle
3002,-0.79,idle
3003,1.46,idle
3007,3.19,idle
3009,2.7,idle
3011,-0.25,idle
3013,-3.45,idle
3015,-3.85,idle
3017,-0.84,idle
3018,2.77,idle
3021,3.49,idle
3023,0.84,idle
3024,-2.01,idle
3025,-1.85,idle
3028,0.61,idle
3031,1.7,idle
3032,-0.14,idle
3035,-2.32,idle
3036,-1.75,idle
3038,1.12,idle
3038,2.97,idle
3042,1.85,idle
3045,-0.76,idle
3047,-2.19,idle
3049,-1.63,idle
3050,-0.35,idle
3053,0.52,idle
3055,1.13,idle
3057,1.54,idle
3059,0.92,idle
3061,-0.85,idle
3061,-2.09,idle
3064,-1.25,idle
3067,0.81,idle
3069,1.75,idle
3069,0.7,idle
3073,-0.83,idle
3075,-1.01,idle
3077,0.12,idle
3077,0.87,idle
3081,0.17,idle
3083,-1.02,idle
3085,-0.96,idle
3085,0.58,idle
3089,1.94,idle
3091,1.36,idle
3092,-0.97,idle
3093,-2.72,idle
3097,-1.85,idle
3099,0.92,idle
3101,2.81,idle
3101,2.04,idle
3104,-0.39,idle
3107,-2.06,idle
3108,-1.77,idle
3110,-0.36,idle
3113,0.75,idle
3115,1.12,idle
3116,1.08,idle
3119,0.64,idle
3121,-0.4,idle
3122,-1.5,idle
3123,-1.56,idle
3127,-0.22,idle
3128,1.38,idle
3131,1.64,idle
3131,0.37,idle
3134,-0.85,idle
3137,-0.65,idle
3139,0.31,idle
3140,0.23,idle
3143,-1.1,idle
3145,-1.57,idle
3146,0.28,idle
3148,2.7,idle
3150,2.67,idle
3152,-0.21,idle
3152,-3.1,idle
3156,-3.22,idle
3158,-0.72,idle
3160,2.04,idle
3160,3.12,idle
3165,2.06,idle
3167,-0.42,idle
3169,-2.61,idle
3171,-2.7,idle
3173,-0.6,idle
3175,1.78,idle
3177,2.38,idle
3178,0.95,idle
3180,-0.96,idle
3182,-1.73,idle
3183,-1.06,idle
3183,0.23,idle
3188,1.14,idle
3190,1.2,idle
3192,0.57,idle
3195,-0.41,idle
3197,-1.26,idle
3199,-1.34,idle
3201,-0.46,idle
3202,0.69,idle
3204,1.34,idle
3206,1.29,idle
3208,0.62,idle
3211,-0.52,idle
3213,-1.47,idle
3214,-1.35,idle
3216,-0.33,idle
3218,0.35,idle
3220,0.33,idle
3222,0.64,idle
3224,1.54,idle
3227,1.53,idle
3228,-0.3,idle
3230,-2.47,idle
3232,-2.81,idle
3235,-0.84,idle
3237,1.88,idle
3238,3.21,idle
3240,2.11,idle
3242,-0.55,idle
3244,-2.75,idle
3247,-2.89,idle
3249,-0.92,idle
3250,1.72,idle
3252,3.15,idle
3255,2.26,idle
3257,-0.54,idle
3257,-3.21,idle
3261,-3.27,idle
3262,-0.29,idle
3264,2.96,idle
3267,3.26,idle
3268,0.73,idle
3270,-1.72,idle
3272,-2.09,idle
3275,-0.99,idle
3277,0.04,idle
3278,0.53,idle
3279,0.81,idle
3282,0.77,idle
3284,0.25,idle
3287,-0.19,idle
3287,0.11,idle
3290,0.49,idle
3292,-0.37,idle
3295,-2.09,idle
3295,-2.25,idle
3298,0.46,idle
3301,3.65,idle
3303,3.51,idle
3304,-0.33,idle
3306,-3.77,idle
3309,-3.07,idle
3309,0.59,idle
3312,2.75,idle
3314,1.26,idle
3316,-1.37,idle
3317,-1.6,idle
