Time (ms),EMG Value,Label
2008,1.8,idle
2009,0.58,idle
2009,-1.58,idle
2009,-1.93,idle
2009,0.61,idle
2017,3.67,idle
2017,3.61,idle
2017,-0.28,idle
2017,-4.59,idle
2017,-5.27,idle
2028,-1.82,idle
2028,2.5,idle
2029,4.4,idle
2029,3.39,idle
2029,1.12,idle
2037,-0.97,idle
2037,-2.44,idle
2037,-2.98,idle
2037,-2.08,idle
2047,0.06,idle
2047,1.94,idle
2047,2.06,idle
2047,0.67,idle
2047,-0.36,idle
2047,0.18,idle
2057,1.19,idle
2057,0.67,idle
2057,-1.45,idle
2057,-2.92,idle
2067,-1.89,idle
2067,0.7,idle
2067,2.19,idle
2067,1.33,idle
2067,-0.34,idle
2077,-0.52,idle
2077,1.0,idle
2077,2.09,idle
2077,0.97,idle
2077,-1.81,idle
2087,-4.04,idle
2087,-3.89,idle
2087,-1.07,idle
2087,3.06,idle
2087,6.0,idle
2097,5.4,idle
2097,0.99,idle
2097,-4.46,idle
2097,-6.89,idle
2097,-4.49,idle
2107,0.52,idle
2107,4.02,idle
2107,3.96,idle
2107,1.89,idle
2107,0.4,idle
2107,0.02,idle
2117,-0.76,idle
2117,-2.55,idle
2117,-3.54,idle
2117,-1.74,idle
2127,1.93,idle
2127,3.99,idle
2127,2.33,idle
2127,-1.16,idle
2127,-2.65,idle
2137,-0.79,idle
2137,1.84,idle
2137,2.03,idle
2137,-0.34,idle
2137,-2.43,idle
2147,-2.08,idle
2147,-0.1,idle
2147,1.14,idle
2147,0.76,idle
2147,0.19,idle
2157,0.9,idle
2157,2.13,idle
2157,1.7,idle
2157,-1.07,idle
2157,-3.89,idle
2167,-3.89,idle
2167,-0.95,idle
2167,2.19,idle
2167,3.18,idle
2167,2.44,idle
2177,1.62,idle
2177,0.87,idle
2177,-1.02,idle
2177,-3.85,idle
2177,-5.01,idle
2187,-2.34,idle
2187,2.74,idle
2187,5.92,idle
2187,4.38,idle
2187,-0.14,idle
2195,-3.36,idle
2195,-3.15,idle
2195,-1.23,idle
2195,-0.09,idle
2195,0.2,idle
2205,0.99,idle
2205,2.12,idle
2205,1.73,idle
2205,-0.74,idle
2205,-2.98,idle
2215,-2.23,idle
2215,1.14,idle
2215,3.63,idle
