Time (ms),EMG Value,Label
2002,0.77,idle
2002,0.02,idle
2002,-0.77,idle
2008,-0.62,idle
2009,0.23,idle
2011,0.69,idle
2014,0.24,idle
2016,-0.41,idle
2018,-0.4,idle
2019,0.15,idle
2020,0.4,idle
2024,0.08,idle
2025,-0.27,idle
2026,-0.18,idle
2028,0.04,idle
2032,-0.01,idle
2032,-0.17,idle
2032,0.02,idle
2038,0.45,idle
2040,0.49,idle
2041,-0.11,idle
2043,-0.71,idle
2046,-0.62,idle
2048,0.1,idle
2050,0.64,idle
2051,0.46,idle
2054,-0.11,idle
2056,-0.34,idle
2056,-0.05,idle
2059,0.25,idle
2062,0.1,idle
2063,-0.36,idle
2066,-0.54,idle
2068,-0.09,idle
2068,0.6,idle
2068,0.76,idle
2074,0.14,idle
2076,-0.62,idle
2077,-0.72,idle
2078,-0.1,idle
2081,0.48,idle
2084,0.45,idle
2086,0.05,idle
2087,-0.17,idle
2089,-0.12,idle
2092,-0.12,idle
2093,-0.28,idle
2095,-0.25,idle
2098,0.19,idle
2099,0.67,idle
2101,0.63,idle
2103,0.01,idle
2105,-0.71,idle
2108,-0.95,idle
2109,-0.53,idle
2111,0.31,idle
2111,0.97,idle
2116,0.94,idle
2117,0.25,idle
2119,-0.52,idle
2120,-0.82,idle
2123,-0.57,idle
2126,-0.11,idle
2128,0.25,idle
2130,0.48,idle
2132,0.54,idle
2134,0.3,idle
2135,-0.2,idle
2138,-0.6,idle
2140,-0.52,idle
2141,-0.02,idle
2144,0.46,idle
2146,0.48,idle
2147,0.08,idle
2147,-0.33,idle
2152,-0.38,idle
2154,-0.1,idle
2156,0.18,idle
2156,0.28,idle
2159,0.26,idle
2162,0.15,idle
2164,-0.16,idle
2166,-0.51,idle
2168,-0.53,idle
2170,-0.06,idle
2171,0.5,idle
2174,0.65,idle
2176,0.33,idle
2177,-0.07,idle
2180,-0.27,idle
2182,-0.42,idle
2184,-0.59,idle
2184,-0.46,idle
2188,0.23,idle
2189,1.04,idle
2192,1.13,idle
2192,0.2,idle
2196,-1.02,idle
2198,-1.43,idle
2200,-0.62,idle
