Time (ms),EMG Value,Label
2001,-0.4,idle
2003,0.14,idle
2003,1.23,idle
2007,1.08,idle
2009,-0.6,idle
2010,-2.05,idle
2013,-1.61,idle
2013,0.16,idle
2017,1.29,idle
2019,0.88,idle
2020,0.02,idle
2020,0.08,idle
2025,0.78,idle
2027,0.7,idle
2028,-0.61,idle
2033,-1.8,idle
2033,-1.41,idle
2033,0.2,idle
2037,1.23,idle
2040,0.83,idle
2040,0.02,idle
2043,0.09,idle
2045,0.75,idle
2045,0.62,idle
2045,-0.66,idle
2051,-1.74,idle
2053,-1.25,idle
2053,0.3,idle
2057,1.17,idle
2058,0.68,idle
2058,-0.06,idle
2063,0.15,idle
2063,0.84,idle
2066,0.61,idle
2069,-0.74,idle
2069,-1.78,idle
2073,-1.27,idle
2075,0.28,idle
2075,1.25,idle
2079,0.89,idle
2081,0.09,idle
2082,-0.03,idle
2084,0.43,idle
2087,0.41,idle
2089,-0.48,idle
2091,-1.29,idle
2095,-1.02,idle
2096,0.03,idle
2097,0.7,idle
2099,0.55,idle
2099,0.32,idle
2099,0.61,idle
2105,0.85,idle
2106,0.14,idle
2108,-1.19,idle
2111,-1.72,idle
2112,-0.71,idle
2115,0.74,idle
2117,1.08,idle
2117,0.26,idle
2117,-0.28,idle
2123,0.31,idle
2123,1.06,idle
2123,0.56,idle
2129,-1.0,idle
2131,-1.89,idle
2133,-0.97,idle
2134,0.75,idle
2136,1.35,idle
2138,0.38,idle
2142,-0.59,idle
2142,-0.16,idle
2142,1.01,idle
2147,1.11,idle
2147,-0.29,idle
2151,-1.67,idle
2151,-1.51,idle
2155,-0.2,idle
2155,0.72,idle
2155,0.69,idle
2161,0.53,idle
2163,0.86,idle
2163,0.98,idle
2167,0.07,idle
2167,-1.37,idle
2171,-1.86,idle
2174,-0.84,idle
2174,0.55,idle
2176,0.97,idle
2176,0.49,idle
2181,0.26,idle
2183,0.71,idle
2184,0.91,idle
2184,-0.04,idle
2188,-1.49,idle
2191,-1.86,idle
2191,-0.61,idle
2191,0.97,idle
2196,1.27,idle
2198,0.35,idle
2198,-0.31,idle
2203,0.15,idle
2205,0.86,idle
2206,0.48,idle
2209,-0.9,idle
2211,-1.69,idle
2212,-0.91,idle
2214,0.57,idle
2217,1.11,idle
2218,0.46,idle
2220,-0.16,idle
2223,0.17,idle
2224,0.82,idle
2227,0.52,idle
2229,-0.76,idle
2232,-1.65,idle
2233,-1.07,idle
2234,0.39,idle
2236,1.16,idle
2239,0.67,idle
2240,-0.08,idle
2242,-0.02,idle
2245,0.55,idle
2247,0.51,idle
2249,-0.39,idle
2251,-1.18,idle
2252,-0.99,idle
2255,-0.16,idle
2257,0.38,idle
2257,0.42,idle
2260,0.55,idle
2263,0.97,idle
2265,1.0,idle
2266,0.03,idle
2269,-1.37,idle
2271,-1.83,idle
2273,-0.84,idle
2276,0.6,idle
2277,1.15,idle
2278,0.65,idle
2281,0.11,idle
2283,0.24,idle
2284,0.54,idle
2287,0.15,idle
2288,-0.82,idle
2290,-1.33,idle
2292,-0.75,idle
2294,0.3,idle
2296,0.74,idle
2299,0.44,idle
2301,0.21,idle
2302,0.54,idle
