Time (ms),EMG Value,Label
2001,-3.36,idle
2002,-5.17,idle
2002,-1.45,idle
2007,3.33,idle
2007,3.52,idle
2011,-0.15,idle
2011,-1.95,idle
2011,0.64,idle
2011,3.45,idle
2018,1.6,idle
2019,-3.41,idle
2019,-5.39,idle
2019,-1.69,idle
2026,3.14,idle
2028,3.42,idle
2030,-0.11,idle
2031,-1.76,idle
2035,0.9,idle
2037,3.66,idle
2038,1.64,idle
2038,-3.6,idle
2041,-5.76,idle
2041,-2.04,idle
2041,3.08,idle
2048,3.79,idle
2049,0.51,idle
2049,-1.37,idle
2054,0.67,idle
2054,2.92,idle
2059,1.03,idle
2059,-3.55,idle
2059,-5.17,idle
2059,-1.56,idle
2066,3.05,idle
2066,3.57,idle
2066,0.58,idle
2072,-1.1,idle
2074,0.56,idle
2074,2.24,idle
2078,0.4,idle
2078,-3.39,idle
2082,-4.33,idle
2084,-0.88,idle
2086,3.01,idle
2086,3.13,idle
2090,0.42,idle
2090,-0.94,idle
2090,0.47,idle
2096,1.65,idle
2098,-0.14,idle
2100,-3.15,idle
2102,-3.41,idle
2104,-0.17,idle
2106,2.95,idle
2109,2.72,idle
2109,0.24,idle
2109,-1.05,idle
2115,-0.08,idle
2115,0.88,idle
2115,-0.18,idle
2120,-2.05,idle
2123,-2.03,idle
2124,0.17,idle
2126,2.02,idle
2126,1.57,idle
2126,-0.11,idle
2132,-0.67,idle
2133,0.26,idle
2133,0.84,idle
2133,-0.15,idle
2141,-1.59,idle
2141,-1.59,idle
2144,-0.04,idle
2144,1.3,idle
2147,1.13,idle
2147,0.16,idle
2152,-0.15,idle
2152,0.36,idle
2156,0.5,idle
2158,-0.39,idle
2158,-1.37,idle
2158,-1.17,idle
2164,0.09,idle
2164,0.98,idle
2164,0.7,idle
2170,0.0,idle
2173,0.05,idle
2174,0.68,idle
2174,0.67,idle
2174,-0.42,idle
2174,-1.48,idle
2181,-1.25,idle
2184,-0.01,idle
2186,0.86,idle
2187,0.7,idle
2189,0.23,idle
2193,0.33,idle
2193,0.68,idle
2193,0.32,idle
2198,-0.78,idle
2200,-1.45,idle
2200,-0.85,idle
2200,0.37,idle
2206,0.89,idle
2206,0.37,idle
2206,-0.17,idle
2212,0.15,idle
2214,0.83,idle
2216,0.72,idle
2218,-0.4,idle
2218,-1.4,idle
2223,-1.2,idle
2223,-0.09,idle
2223,0.67,idle
2223,0.53,idle
2230,0.21,idle
2232,0.48,idle
2232,0.92,idle
2237,0.54,idle
2237,-0.74,idle
2239,-1.66,idle
2241,-1.21,idle
2241,0.12,idle
2241,0.93,idle
2247,0.69,idle
2249,0.2,idle
2249,0.32,idle
2254,0.71,idle
2256,0.4,idle
2256,-0.68,idle
2259,-1.48,idle
2259,-1.07,idle
2264,0.12,idle
2265,0.86,idle
2268,0.64,idle
2270,0.15,idle
2272,0.22,idle
2272,0.64,idle
2272,0.5,idle
2277,-0.46,idle
2280,-1.35,idle
2282,-1.16,idle
2284,-0.09,idle
2286,0.74,idle
2288,0.67,idle
2290,0.25,idle
2290,0.32,idle
2290,0.69,idle
2296,0.46,idle
2298,-0.57,idle
2298,-1.42,idle
2302,-1.09,idle
2304,0.06,idle
2304,0.78,idle
2308,0.53,idle
2308,0.08,idle
2308,0.32,idle
2314,0.88,idle
2316,0.63,idle
2318,-0.61,idle
2318,-1.59,idle
2321,-1.18,idle
2321,0.13,idle
2326,0.84,idle
2326,0.44,idle
2330,-0.04,idle
2330,0.4,idle
2330,1.14,idle
2330,0.8,idle
2338,-0.74,idle
2338,-1.94,idle
2338,-1.45,idle
2338,0.19,idle
2347,1.2,idle
2347,0.81,idle
2350,0.04,idle
2351,0.11,idle
2354,0.74,idle
2357,0.63,idle
2358,-0.59,idle
2358,-1.65,idle
2362,-1.26,idle
2365,0.19,idle
2365,1.11,idle
2368,0.73,idle
2370,-0.05,idle
2372,-0.01,idle
2372,0.66,idle
2375,0.7,idle
2378,-0.37,idle
2378,-1.46,idle
2382,-1.3,idle
2382,-0.05,idle
2386,0.92,idle
2388,0.79,idle
2388,0.19,idle
2393,0.11,idle
2395,0.52,idle
2395,0.48,idle
2399,-0.39,idle
2399,-1.26,idle
2399,-1.14,idle
