TimeStamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.59111994799778e+15,-3,-0,-1,-1,0,0,0,0
1.59111994799778e+15,-1,-1,0,0,-1,-1,-2,-1
1.59111994800476e+15,-1,-0,-1,-1,1,1,-1,0
1.59111994800476e+15,0,-0,-1,0,-2,-2,0,0
1.59111994800476e+15,-1,-1,-3,0,-2,-2,-3,-2
1.59111994800476e+15,-3,-3,-2,-2,-1,-1,-1,-3
1.59111994800576e+15,-1,-0,0,-2,-1,-1,-1,0
1.59111994800576e+15,-2,-1,-2,-3,0,0,0,-2
1.59111994801673e+15,-1,-1,-2,0,-1,-1,-2,-2
1.59111994801673e+15,-1,-1,3,1,-1,-1,-3,-1
1.59111994802468e+15,-2,-1,-3,0,-3,-3,-3,-2
1.59111994802468e+15,-1,-0,1,3,0,0,-1,0
1.59111994803167e+15,1,1,2,0,-1,-1,1,-2
1.59111994803167e+15,-1,1,0,0,0,0,0,-1
1.59111994804679e+15,0,-0,2,-1,1,1,0,0
1.59111994804679e+15,-2,-3,-10,-6,-3,-3,-1,-2
1.59111994805474e+15,-2,1,10,2,0,0,0,0
1.59111994805474e+15,0,-0,-1,-3,1,1,-1,-1
1.59111994807167e+15,-1,-3,-17,-5,1,1,-1,-3
1.59111994807167e+15,-2,1,20,2,-2,-2,-3,-3
1.59111994807773e+15,0,-1,-2,1,-2,-2,0,-1
1.59111994807773e+15,1,2,15,0,-2,-2,2,-1
1.59111994809177e+15,1,-3,-22,1,-1,-1,-2,0
1.59111994809177e+15,1,-2,-12,-7,0,0,-1,0
1.59111994813201e+15,-2,1,-3,2,0,0,0,1
1.59111994813201e+15,-1,-1,-2,-5,-1,-1,-2,-2
1.59111994813302e+15,-2,-1,-4,0,-1,-1,-1,1
1.59111994813302e+15,-1,2,3,8,0,0,-1,-1
1.59111994813402e+15,1,-3,-16,-8,0,0,-1,0
1.59111994813402e+15,0,-2,-16,2,0,0,-2,1
1.59111994813706e+15,0,4,28,2,-2,-2,0,-3
1.59111994813706e+15,0,6,28,10,1,1,-1,-2
1.59111994814501e+15,-3,-4,-22,-5,1,1,1,-1
1.59111994814501e+15,-2,-4,-22,-8,0,0,0,0
1.59111994815164e+15,-3,-3,-9,-9,-1,-1,-2,-2
1.59111994815164e+15,-1,3,16,3,-2,-2,0,-1
1.59111994816001e+15,-7,-11,-47,-17,-4,-4,-4,-1
1.59111994816001e+15,-1,3,25,5,-2,-2,-2,-3
1.59111994817454e+15,1,1,11,4,-1,-1,-2,-4
1.59111994817454e+15,-1,2,20,-1,-3,-3,-3,-3
1.59111994818326e+15,3,2,7,4,0,0,-1,0
1.59111994818326e+15,-1,1,-3,0,1,1,3,0
1.59111994819703e+15,-1,5,20,7,1,1,1,0
1.59111994819703e+15,0,-7,-32,-13,-1,-1,-4,-2
1.59111994820586e+15,0,3,15,7,0,0,1,-2
1.59111994820586e+15,1,-4,-27,-4,-2,-2,-3,-1
1.59111994822039e+15,-2,6,42,4,-3,-3,-1,0
1.59111994822039e+15,0,4,13,7,0,0,1,3
1.59111994822239e+15,-9,-18,-73,-22,-5,-5,-4,-5
1.59111994822239e+15,-1,6,42,4,-2,-2,-1,-1
1.59111994824315e+15,4,-0,-12,-1,0,0,0,2
1.59111994824315e+15,-8,-10,-32,-20,-4,-4,-3,-4
1.59111994824444e+15,3,16,83,15,0,0,-1,1
1.59111994824444e+15,-5,-12,-56,-11,-4,-4,-3,-3
1.59111994825653e+15,0,-2,-13,-9,1,1,-1,-2
1.59111994825653e+15,3,6,22,5,0,0,0,6
1.59111994826501e+15,-1,1,11,2,-1,-1,-3,-3
1.59111994826501e+15,-4,-2,-4,5,-1,-1,-2,-5
1.59111994828158e+15,0,5,25,-1,-1,-1,2,3
1.59111994828158e+15,0,-2,-17,-1,0,0,1,-1
1.59111994828258e+15,-3,-6,-16,-8,-5,-5,-2,-4
1.59111994828258e+15,2,-7,-41,-12,3,3,-1,0
1.59111994830328e+15,-3,4,39,6,-1,-1,-3,-5
1.59111994830328e+15,-3,-1,-4,-5,1,1,2,-2
1.59111994830433e+15,4,11,42,10,3,3,0,3
1.59111994830433e+15,-1,-2,-25,-4,0,0,0,1
1.59111994831678e+15,-7,-6,-27,-3,-4,-4,-2,-6
1.59111994831678e+15,5,-2,-26,-2,-2,-2,1,9
1.59111994832511e+15,2,3,8,6,0,0,0,-3
1.59111994832511e+15,9,5,22,2,0,0,1,4
1.59111994834064e+15,-3,-7,-37,-11,2,2,-1,-1
1.59111994834064e+15,1,12,71,17,-2,-2,-2,-3
1.59111994834186e+15,-6,-3,-14,-8,0,0,0,0
1.59111994834186e+15,0,7,44,6,-3,-3,0,-3
1.59111994836349e+15,-3,-5,-24,-4,1,1,-2,-3
1.59111994836349e+15,-6,-10,-46,-5,-5,-5,-1,-8
1.59111994836449e+15,7,-0,-22,2,4,4,2,0
1.59111994836449e+15,-3,10,66,3,2,2,2,0
1.5911199483933e+15,2,-5,-54,6,0,0,2,-1
1.5911199483933e+15,1,7,22,14,2,2,-1,0
1.5911199483943e+15,-6,-7,-23,-6,-5,-5,-5,-4
1.5911199483943e+15,11,9,9,18,6,6,3,5
1.59111994839979e+15,-20,-33,-97,-63,-9,-9,-10,-10
1.59111994839979e+15,6,17,98,20,2,2,-2,-1
1.59111994840751e+15,-26,-20,-36,-22,-15,-15,-10,-16
1.59111994840751e+15,0,9,50,12,-2,-2,-3,0
1.59111994842331e+15,5,3,-13,10,3,3,2,0
1.59111994842331e+15,1,-4,-30,-7,1,1,1,2
1.59111994842431e+15,3,2,6,-8,2,2,0,11
1.59111994842431e+15,-5,-5,-19,-3,-4,-4,-4,-4
1.59111994844534e+15,7,9,42,16,-6,-6,-2,5
1.59111994844534e+15,2,-10,-59,-17,0,0,0,-4
1.59111994844703e+15,4,7,17,20,2,2,0,-2
1.59111994844703e+15,-22,-18,-44,-21,-9,-9,-8,-10
1.59111994846057e+15,0,-0,4,2,0,0,-2,-4
1.59111994846057e+15,3,-0,-1,-6,2,2,1,1
1.59111994846157e+15,-3,-7,-41,-6,-1,-1,1,-3
1.59111994846157e+15,0,2,14,2,-2,-2,1,-1
1.59111994848311e+15,-4,-2,-5,5,-7,-7,-4,-5
1.59111994848311e+15,-2,-3,-25,-4,3,3,5,3
1.59111994848411e+15,5,7,18,2,4,4,3,4
1.59111994848411e+15,-2,1,22,5,-5,-5,-1,-5
1.59111994850584e+15,6,-2,-33,-11,6,6,5,5
1.59111994850584e+15,-8,7,58,14,-4,-4,-6,-4
1.59111994850685e+15,1,11,54,15,0,0,1,-5
1.59111994850685e+15,-9,-17,-79,-21,-5,-5,-4,-4
1.59111994851987e+15,-3,-0,20,-2,-4,-4,-3,-1
1.59111994851987e+15,-6,-7,-26,-11,-2,-2,-3,-5
1.59111994852823e+15,0,-3,-20,-5,-2,-2,0,0
1.59111994852823e+15,7,7,25,8,1,1,-1,0
1.59111994854308e+15,1,2,5,4,-1,-1,1,1
1.59111994854308e+15,-2,-9,-41,-14,-3,-3,-3,0
1.59111994854408e+15,3,5,22,4,1,1,1,-1
1.59111994854408e+15,0,-2,-9,-3,-1,-1,0,-2
1.59111994855679e+15,4,6,19,6,2,2,3,-1
1.59111994855679e+15,-4,-3,-8,-8,-4,-4,1,0
1.59111994856556e+15,2,1,2,-4,0,0,-2,2
1.59111994856556e+15,-1,9,54,9,1,1,-2,-2
1.59111994857892e+15,-7,-4,-11,-1,-2,-2,-4,-5
1.59111994857892e+15,-3,-3,-10,-1,-3,-3,-2,-4
1.59111994858833e+15,-1,1,5,1,0,0,0,0
1.59111994858833e+15,3,3,12,-3,0,0,1,2
1.59111994860294e+15,0,3,11,6,0,0,-1,2
1.59111994860294e+15,-3,-6,-32,-4,-2,-2,-1,-1
1.59111994860396e+15,2,-0,8,-3,-3,-3,-3,-1
1.59111994860396e+15,-4,-3,-8,-1,0,0,-2,-8
1.59111994861667e+15,2,5,20,5,2,2,2,8
1.59111994861667e+15,5,-0,7,-2,-2,-2,-3,-1
1.59111994862563e+15,3,2,3,1,-1,-1,0,0
1.59111994862563e+15,2,-1,-11,-3,-2,-2,-1,0
1.59111994863997e+15,0,1,7,0,0,0,0,-5
1.59111994863997e+15,-2,-1,-6,-3,0,0,-1,-1
1.59111994864662e+15,-1,1,12,4,-1,-1,-3,-1
1.59111994864662e+15,-4,-2,-8,-1,-2,-2,0,2
1.59111994866388e+15,1,3,6,4,1,1,0,2
1.59111994866388e+15,-6,-4,3,-7,-3,-3,-3,-4
1.59111994866489e+15,-4,-3,-9,-2,-2,-2,0,-2
1.59111994866489e+15,-1,2,7,0,1,1,1,3
1.5911199486768e+15,-1,1,6,1,-3,-3,0,-1
1.5911199486768e+15,-3,-1,-1,1,-1,-1,-2,-5
1.59111994869982e+15,-1,-0,-6,0,0,0,1,3
1.59111994869982e+15,2,-1,-10,-2,-1,-1,-1,-1
1.59111994870081e+15,1,2,1,7,-1,-1,0,0
1.59111994870081e+15,0,-9,-45,-14,-2,-2,-3,-2
1.59111994872335e+15,-4,-0,15,-3,-1,-1,-1,-4
1.59111994872335e+15,-1,-2,-7,0,-2,-2,-1,-2
1.59111994872435e+15,0,-2,-2,-4,-2,-2,-5,-5
1.59111994872435e+15,2,3,8,4,1,1,2,2
1.59111994872535e+15,0,-0,-2,1,0,0,-1,0
1.59111994872535e+15,-2,-2,-7,-4,-2,-2,-1,1
1.59111994875227e+15,1,1,8,-2,-1,-1,-1,-1
1.59111994875227e+15,0,1,7,1,0,0,-1,0
1.59111994876973e+15,1,-0,2,0,-1,-1,1,-2
1.59111994876973e+15,-2,-1,-5,-4,0,0,0,0
1.59111994877073e+15,-4,-5,-12,-7,-2,-2,-2,-6
1.59111994877073e+15,-2,2,10,1,-1,-1,1,2
1.59111994877423e+15,-2,-1,2,-2,-2,-2,0,-3
1.59111994877423e+15,-2,-3,-13,-4,0,0,-1,-4
1.59111994878946e+15,-4,-1,-5,-3,0,0,-2,1
1.59111994878946e+15,-1,2,5,2,2,2,0,-2
1.5911199487979e+15,-1,2,14,3,0,0,-1,-1
1.5911199487979e+15,0,1,1,-1,0,0,-3,2
1.59111994880577e+15,-1,-4,-21,-3,1,1,-1,-1
1.59111994880577e+15,-1,-0,4,0,-2,-2,0,-3
1.59111994880678e+15,-3,-1,-1,0,-1,-1,-3,-2
1.59111994880678e+15,-2,-1,-7,-4,0,0,0,1
1.59111994882846e+15,-2,-1,3,-2,-3,-3,-1,0
1.59111994882846e+15,-2,-0,0,1,1,1,-3,0
1.59111994882946e+15,-3,-2,-7,-4,-1,-1,-2,-2
1.59111994882946e+15,1,1,-1,0,-2,-2,0,4
1.59111994884253e+15,0,2,7,2,0,0,1,0
1.59111994884253e+15,-3,-0,-1,-2,-1,-1,0,1
1.59111994884447e+15,1,-0,-1,-3,-1,-1,-1,-2
1.59111994884447e+15,-1,-0,1,-1,2,2,-2,-6
1.59111994886547e+15,1,-0,2,-2,-1,-1,-2,-2
1.59111994886547e+15,-2,-1,5,-1,-4,-4,-3,-1
1.59111994886642e+15,-3,-1,-4,-1,-2,-2,-2,0
1.59111994886642e+15,-2,-1,-5,-1,-2,-2,-3,0
1.59111994888736e+15,-3,-0,4,0,0,0,-2,-1
1.59111994888736e+15,1,1,1,0,0,0,-1,-1
1.59111994888935e+15,0,-0,-4,-1,-1,-1,-2,-1
1.59111994888935e+15,-1,-1,-1,-1,-1,-1,-3,-2
1.59111994890235e+15,0,1,1,1,-1,-1,0,1
1.59111994890235e+15,0,-0,2,-1,0,0,-1,-2
1.59111994890431e+15,-3,-1,-3,0,0,0,-1,-2
1.59111994890431e+15,-1,-1,-1,-1,-1,-1,0,-3
1.59111994892525e+15,-4,-2,-1,-2,-2,-2,-1,-1
1.59111994892525e+15,-1,-1,-4,-1,0,0,-1,-1
1.59111994892725e+15,0,-1,-5,0,-1,-1,-1,-1
1.59111994892725e+15,-1,-0,-1,1,-1,-1,-2,1
1.59111994893954e+15,3,1,0,0,-2,-2,-1,-2
1.59111994893954e+15,-1,-1,-1,-4,-1,-1,-1,-3
1.5911199489473e+15,-1,-0,-1,-3,-1,-1,0,0
1.5911199489473e+15,-1,-1,0,-1,-3,-3,-1,-1
1.59111994896298e+15,0,-1,-2,-1,-1,-1,-3,-1
1.59111994896298e+15,4,1,3,2,-1,-1,0,-1
1.59111994896399e+15,-1,-1,-3,-3,-1,-1,0,1
1.59111994896399e+15,1,-1,-2,-2,1,1,0,-2
1.59111994898572e+15,-2,1,0,0,1,1,0,0
1.59111994898572e+15,-3,-1,-3,0,-1,-1,-1,0
1.59111994898672e+15,-1,-0,0,0,-3,-3,-2,-1
1.59111994898672e+15,-1,-0,-1,-1,0,0,0,-2
1.59111994899902e+15,-2,-0,-1,-2,0,0,-1,2
1.59111994899902e+15,-2,-1,-1,-2,-1,-1,-1,-1
1.59111994900758e+15,-1,-1,-1,-2,0,0,0,-1
1.59111994900758e+15,-4,-2,-1,1,-2,-2,-2,-5
1.59111994902155e+15,-2,-2,-2,-3,-1,-1,-1,-5
1.59111994902155e+15,-2,-2,-3,-1,-3,-3,-1,-5
1.59111994903004e+15,0,-1,-2,-2,-2,-2,-1,1
1.59111994903004e+15,-3,-1,0,-2,-1,-1,0,-1
1.59111994904559e+15,-1,-0,1,-1,0,0,0,2
1.59111994904559e+15,0,-0,1,-1,0,0,-3,1
1.5911199490471e+15,-1,-1,0,0,0,0,-3,-2
1.5911199490471e+15,-3,-1,0,0,-2,-2,-1,-1
1.59111994905911e+15,-3,-1,0,-1,-2,-2,-4,-3
1.59111994905911e+15,0,-0,0,-1,-2,-2,0,-2
1.59111994908377e+15,1,-0,-2,0,-1,-1,-2,0
1.59111994908377e+15,0,-1,-2,-1,-1,-1,-2,-2
1.5911199490847e+15,-3,-1,-2,-1,0,0,-1,-3
1.5911199490847e+15,0,-0,-1,1,0,0,-1,1
1.5911199490867e+15,-2,-0,-2,-1,-2,-2,-1,0
1.5911199490867e+15,-2,-1,-2,-2,-3,-3,-1,-2
1.59111994910476e+15,-2,-1,-3,-2,-2,-2,-2,-4
1.59111994910476e+15,-1,-0,-2,-1,-1,-1,0,1
1.5911199491117e+15,-1,-1,-1,-1,-1,-1,0,-6
1.5911199491117e+15,-1,-1,-1,-3,0,0,-2,4
1.59111994913528e+15,3,1,1,-1,-1,-1,0,-2
1.59111994913528e+15,-2,-1,0,-2,-3,-3,-2,-3
1.59111994913628e+15,0,-2,-1,1,-3,-3,-3,-11
1.59111994913628e+15,0,1,-3,0,0,0,0,6
1.59111994914139e+15,-3,-0,0,0,-2,-2,-1,0
1.59111994914139e+15,-3,-1,-1,-2,1,1,-2,-5
1.59111994915077e+15,-1,1,0,-1,0,0,2,4
1.59111994915077e+15,0,-1,-1,0,-3,-3,-3,-4
1.59111994916491e+15,-2,-2,-2,2,-5,-5,-3,-1
1.59111994916491e+15,-2,-0,-1,1,1,1,0,-2
1.59111994917271e+15,0,-1,-2,-3,0,0,-3,0
1.59111994917271e+15,1,-0,1,-3,0,0,-1,-3
