TimeStamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.59111970046104e+15,-2,-6,-43,-5,4,4,2,-4
1.59111970046472e+15,2,-2,-5,0,-8,-8,0,-5
1.59111970046472e+15,0,-2,-8,-3,0,0,-1,-3
1.5911197004711e+15,-3,-2,-9,-3,2,2,-4,-3
1.5911197004711e+15,-2,3,22,2,-2,-2,-2,1
1.59111970047968e+15,-4,-3,-11,-3,-1,-1,-4,1
1.59111970047968e+15,-3,-0,-2,0,-2,-2,1,0
1.59111970049443e+15,0,-1,3,-1,-2,-2,-2,-3
1.59111970049443e+15,1,-1,-1,-2,-2,-2,-2,0
1.59111970049443e+15,0,2,4,-1,4,4,2,0
1.59111970049443e+15,2,2,18,2,-11,-11,0,1
1.59111970051675e+15,0,-2,-12,-1,0,0,-5,-1
1.59111970051675e+15,-1,-1,-15,-6,3,3,3,2
1.59111970051772e+15,-5,-0,20,0,-5,-5,-4,-4
1.59111970051772e+15,0,-1,-7,-1,4,4,0,-2
1.59111970053047e+15,-2,-1,0,-3,-2,-2,1,-2
1.59111970053047e+15,1,1,4,2,-3,-3,3,-1
1.59111970053942e+15,0,-2,-13,-4,-1,-1,3,-1
1.59111970053942e+15,0,-0,2,1,-3,-3,-4,-2
1.59111970055433e+15,-1,-1,-4,-2,5,5,-1,-6
1.59111970055433e+15,2,2,10,1,-10,-10,2,3
1.59111970055515e+15,0,-1,1,-1,-2,-2,-5,-2
1.59111970055515e+15,0,-0,-4,2,-1,-1,0,1
1.59111970057721e+15,-3,-1,-5,-2,0,0,0,1
1.59111970057721e+15,0,1,10,2,2,2,-4,-2
1.59111970057721e+15,-1,1,3,2,-2,-2,0,-1
1.59111970057721e+15,-3,-2,-4,0,-3,-3,-2,-2
1.59111970059066e+15,2,-0,-4,-1,-1,-1,-1,3
1.59111970059066e+15,-1,1,1,-3,5,5,2,-1
1.59111970059866e+15,-4,-3,-7,-2,-9,-9,1,-2
1.59111970059866e+15,-1,-0,4,0,-1,-1,-2,-6
1.59111970061417e+15,-3,-1,1,-2,-1,-1,-1,-2
1.59111970061417e+15,-3,-1,2,1,3,3,-5,-4
1.59111970061465e+15,-1,-1,-5,-2,0,0,-1,1
1.59111970061465e+15,-1,-1,-5,-1,1,1,-1,0
1.59111970063635e+15,2,1,3,1,-4,-4,-2,2
1.59111970063635e+15,-1,-1,0,-1,0,0,-7,-1
1.59111970063736e+15,1,-2,-10,-5,-3,-3,4,1
1.59111970063736e+15,-1,2,7,-1,3,3,1,-1
1.59111970065099e+15,-2,-0,6,2,-3,-3,0,-2
1.59111970065099e+15,-5,-3,-9,-2,-2,-2,-4,-3
1.59111970065973e+15,0,1,5,1,1,1,-2,0
1.59111970065973e+15,-1,-1,-2,-1,-2,-2,-5,2
1.59111970067456e+15,-2,-0,2,-2,-1,-1,-1,0
1.59111970067456e+15,1,2,4,0,1,1,2,0
1.59111970067456e+15,-3,-3,-8,-1,-3,-3,-4,-2
1.59111970067456e+15,-1,-0,1,0,-6,-6,5,-1
1.59111970069747e+15,-2,-2,-1,-2,1,1,-5,-2
1.59111970069747e+15,-1,1,3,-1,-1,-1,9,0
1.59111970070388e+15,0,-2,-7,-4,2,2,-7,-2
1.59111970070388e+15,-1,2,13,-1,3,3,-2,-2
1.59111970071137e+15,-1,-2,-2,0,-7,-7,-6,0
1.59111970071137e+15,1,3,5,-1,5,5,4,0
1.59111970071953e+15,1,-0,-5,-2,0,0,1,-1
1.59111970071953e+15,-3,-3,-11,-1,-5,-5,-2,-4
1.59111970073499e+15,-2,-1,-4,-2,-2,-2,1,-1
1.59111970073499e+15,-1,1,12,2,-2,-2,-8,0
1.59111970074152e+15,-1,-2,-10,1,-4,-4,-1,-2
1.59111970074152e+15,-2,-2,-13,-3,5,5,1,0
1.59111970075708e+15,1,5,20,4,2,2,3,0
1.59111970075708e+15,-4,-8,-35,-8,-2,-2,-5,-4
1.59111970075708e+15,3,3,22,1,-7,-7,-1,-1
1.59111970075708e+15,0,-1,-7,-4,0,0,-1,1
1.59111970077244e+15,1,2,-3,2,3,3,1,1
1.59111970077244e+15,0,2,8,2,-4,-4,1,4
