TimeStamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.59112012336517e+15,1,1,-3,0,0,0,-1,0
1.59112012336517e+15,-4,-7,-27,-13,-1,-1,-3,-3
1.59112012336687e+15,-3,8,48,16,-1,-1,-2,-6
1.59112012336687e+15,-1,-5,-27,-9,-2,-2,-1,-1
1.59112012336758e+15,-2,-5,-16,-9,-3,-3,0,-2
1.59112012336758e+15,0,3,15,9,0,0,-2,0
1.59112012336859e+15,0,2,10,-1,1,1,-1,1
1.59112012336859e+15,-6,-6,-22,-2,-2,-2,-3,-4
1.59112012338508e+15,0,-0,-1,-1,-1,-1,-1,-2
1.59112012338508e+15,0,-3,-10,-6,-3,-3,0,0
1.59112012338715e+15,-1,-0,-1,0,-2,-2,0,0
1.59112012338715e+15,0,-1,4,-6,0,0,-2,-1
1.59112012338948e+15,2,2,2,-1,1,1,-1,1
1.59112012338948e+15,0,-0,-5,1,-1,-1,0,0
1.59112012340628e+15,1,2,1,9,-1,-1,-2,0
1.59112012340628e+15,1,1,2,-6,1,1,0,1
1.59112012341323e+15,-2,-1,-3,2,-1,-1,-3,-3
1.59112012341323e+15,1,2,18,1,-2,-2,-3,0
1.59112012342836e+15,1,-3,-17,-6,-1,-1,0,0
1.59112012342836e+15,-2,-1,0,0,-2,-2,-1,-2
1.59112012343474e+15,-3,2,17,3,0,0,-1,-1
1.59112012343474e+15,-3,-0,-3,2,2,2,1,-1
1.59112012344942e+15,-2,-0,5,-6,1,1,-1,0
1.59112012344942e+15,1,2,2,4,0,0,-1,1
1.59112012349056e+15,0,-1,-6,-1,-1,-1,-1,-1
1.59112012349056e+15,0,-0,1,-1,0,0,-2,0
1.59112012349169e+15,0,-1,-1,0,-2,-2,0,2
1.59112012349169e+15,-1,-1,-5,-3,-2,-2,-1,0
1.59112012349169e+15,0,-1,-3,-4,-1,-1,-2,-2
1.59112012349169e+15,-1,-2,-4,-4,-2,-2,-1,-2
1.59112012349455e+15,-2,-1,-2,-3,-3,-3,-1,-4
1.59112012349455e+15,-1,-1,-10,-2,-1,-1,-1,0
1.59112012350322e+15,-2,5,27,8,-2,-2,0,0
1.59112012350322e+15,-1,-1,-6,-2,-1,-1,-1,1
1.591120123509e+15,-1,-1,-8,-3,-1,-1,-1,-1
1.591120123509e+15,-1,-2,-9,-4,-1,-1,-2,-2
1.59112012352666e+15,0,-1,1,-6,0,0,-2,-2
1.59112012352666e+15,-2,-0,0,1,0,0,-1,-1
1.59112012353164e+15,-1,-0,-1,1,0,0,-3,-2
1.59112012353164e+15,1,3,5,5,0,0,1,6
1.59112012354068e+15,-2,-2,-9,-4,-2,-2,0,-2
1.59112012354068e+15,-3,-1,-6,-2,0,0,-1,-3
1.59112012355503e+15,0,3,25,3,-3,-3,-1,-1
1.59112012355503e+15,-4,-3,-7,-3,-2,-2,-4,-6
1.59112012356316e+15,1,1,-1,0,0,0,0,-1
1.59112012356316e+15,-2,1,3,0,-1,-1,1,-1
1.59112012357702e+15,-1,-1,-6,-4,-2,-2,1,-1
1.59112012357702e+15,1,1,5,-2,0,0,0,0
1.59112012359342e+15,-3,-1,-3,1,-1,-1,-1,1
1.59112012359342e+15,-2,-2,-1,-2,-4,-4,-3,-1
1.59112012360039e+15,-2,-1,-3,2,-2,-2,-2,-2
1.59112012360039e+15,-2,-0,6,-1,-2,-2,0,-1
1.59112012360293e+15,1,-1,-9,-3,0,0,1,0
1.59112012360293e+15,0,1,2,0,-2,-2,2,2
1.59112012361409e+15,-2,-0,2,-3,1,1,-2,-3
1.59112012361409e+15,-2,-2,-6,-3,-2,-2,-3,5
1.59112012362307e+15,0,-1,0,-1,-4,-4,-1,2
1.59112012362307e+15,0,-2,-7,-3,-2,-2,-2,0
1.59112012363669e+15,1,-2,1,-3,-2,-2,-4,-5
1.59112012363669e+15,-8,-3,1,-1,-3,-3,-2,-5
1.59112012364625e+15,-3,-0,-2,-1,1,1,0,-1
1.59112012364625e+15,-1,1,6,4,0,0,0,-3
1.59112012366139e+15,-5,-0,-7,0,1,1,2,2
1.59112012366139e+15,0,-0,12,-4,0,0,-1,-3
1.59112012366667e+15,-5,-0,10,1,-1,-1,-5,-2
1.59112012366667e+15,-1,-2,-10,-6,-3,-3,0,0
1.59112012367506e+15,-1,-1,-4,-4,-1,-1,0,2
1.59112012367506e+15,1,-0,1,0,-2,-2,1,0
1.59112012368376e+15,0,-0,6,0,-1,-1,-1,-4
1.59112012368376e+15,-1,1,6,0,1,1,-1,-1
1.59112012369743e+15,-2,-0,4,2,-2,-2,-2,-1
1.59112012369743e+15,3,-0,-4,1,-2,-2,0,-1
