TimeStamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.59101182452419e+15,0,1,2,0,0,0,1,-1
1.59101182452419e+15,0,-1,-5,0,-2,-2,-2,-1
1.59101182452518e+15,3,-0,-2,-2,0,0,2,-1
1.59101182452518e+15,-3,-1,-7,-2,0,0,1,3
1.5910118245292e+15,1,-1,-3,-1,-2,-2,-3,1
1.5910118245292e+15,2,1,-3,2,1,1,1,0
1.59101182453815e+15,-7,-0,6,2,-1,-1,-3,1
1.59101182453815e+15,-4,-4,-13,-4,-3,-3,-1,-7
1.59101182453923e+15,-2,-2,-5,-3,-1,-1,-2,-5
1.59101182453923e+15,-2,-0,6,-2,-3,-3,-2,1
1.59101182454721e+15,3,-3,-20,-6,-2,-2,0,0
1.59101182454721e+15,1,3,21,6,-2,-2,-3,-5
1.59101182455912e+15,-1,1,-2,-2,-1,-1,-2,9
1.59101182455912e+15,-3,-1,-2,-2,-1,-1,0,-2
1.59101182456707e+15,-3,-1,-3,-2,2,2,-1,-5
1.59101182456707e+15,2,1,-8,-3,1,1,0,11
1.59101182457407e+15,-18,-7,-12,-1,1,1,-2,-20
1.59101182457407e+15,4,3,13,2,-1,-1,-2,6
1.59101182459803e+15,-12,-2,4,1,-3,-3,-4,-7
1.59101182459803e+15,-4,-0,3,1,-2,-2,-3,1
1.59101182459803e+15,-1,-0,0,2,-3,-3,0,0
1.59101182459803e+15,3,-1,-10,-4,0,0,1,1
1.59101182464287e+15,0,-1,-8,0,-1,-1,0,-1
1.59101182464287e+15,-3,-1,7,0,-3,-3,-3,-1
1.59101182464396e+15,0,-0,0,0,0,0,-2,-3
1.59101182464396e+15,0,-0,-3,0,-2,-2,1,2
1.59101182464496e+15,-6,-0,1,-1,1,1,-1,-1
1.59101182464496e+15,-1,-2,-5,-3,0,0,2,-3
1.59101182464885e+15,-1,-1,3,-2,-3,-3,-2,-3
1.59101182464885e+15,-4,-2,-10,-3,0,0,-1,-4
1.59101182465484e+15,1,-0,-1,-4,-1,-1,-1,4
1.59101182465484e+15,4,-0,-2,0,-2,-2,-2,0
1.59101182466381e+15,0,-0,-2,1,1,1,2,-6
1.59101182466381e+15,0,-1,2,-1,-3,-3,-4,-2
1.59101182467777e+15,1,-0,-2,0,1,1,-2,-6
