TimeStamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.59101201086847e+15,-1,1,0,0,-1,-1,0,4
1.59101201088941e+15,-2,-2,-1,-1,-2,-2,-3,-2
1.59101201088941e+15,-2,-1,-2,-2,0,0,-2,-1
1.59101201089029e+15,-1,-0,0,-1,-1,-1,0,2
1.59101201089029e+15,-3,-0,-1,0,-1,-1,0,0
1.59101201090525e+15,-2,-0,-1,-2,-2,-2,0,0
1.59101201090525e+15,-1,-0,-1,-1,0,0,2,-3
1.59101201091127e+15,-2,-2,-1,-2,-3,-3,-3,-2
1.59101201091127e+15,0,-0,-1,-1,-3,-3,1,2
1.59101201092725e+15,0,-0,0,-2,-2,-2,-3,-1
1.59101201092725e+15,0,-0,-2,-1,-1,-1,-2,0
1.59101201092819e+15,-2,-2,-2,-2,-2,-2,-2,-2
1.59101201092819e+15,-1,-1,0,-1,-3,-3,-1,-1
1.59101201095014e+15,-2,-0,-1,-2,1,1,2,-2
1.59101201095014e+15,0,-2,-1,0,-4,-4,-9,-2
1.59101201095014e+15,1,-0,0,-2,-1,-1,-2,-3
1.59101201095014e+15,0,-0,0,-1,-1,-1,-1,-1
1.59101201097209e+15,-2,-1,-1,-2,0,0,-2,0
1.59101201097209e+15,-1,-1,-3,-1,0,0,0,2
1.59101201097298e+15,-2,1,2,-1,1,1,0,0
1.59101201097298e+15,0,-0,1,-2,1,1,0,0
1.59101201098794e+15,-2,-3,-2,-2,-4,-4,-6,-6
1.59101201098794e+15,-2,-0,-1,0,0,0,-2,-1
1.59101201098894e+15,1,-0,-2,-2,-1,-1,1,2
1.59101201098894e+15,-1,-1,-1,-2,-2,-2,-4,-1
1.5910120110099e+15,0,-1,-3,-1,0,0,-4,-4
1.5910120110099e+15,-3,-2,-3,-3,-2,-2,-2,-2
1.59101201101088e+15,-1,1,0,2,1,1,1,3
1.59101201101088e+15,-2,-2,-1,-3,-1,-1,-3,1
1.59101201102386e+15,-2,-1,-3,-2,-2,-2,-1,-2
1.59101201102386e+15,0,-1,0,-1,-2,-2,-5,-4
1.5910120110398e+15,-1,-0,0,-2,-3,-3,3,4
1.5910120110398e+15,-1,-0,-2,-1,-1,-1,-1,-1
1.59101201104878e+15,0,-0,0,0,0,0,-3,-2
1.59101201104878e+15,-3,-1,-1,-2,-1,-1,0,0
1.59101201104977e+15,0,-1,-3,-1,-2,-2,-1,-5
1.59101201104977e+15,0,-0,-3,1,-1,-1,2,-3
1.59101201106972e+15,-1,1,0,-1,1,1,3,1
1.59101201106972e+15,-1,-1,0,0,-2,-2,-3,-2
1.59101201107673e+15,0,-0,1,-1,0,0,-1,-2
1.59101201107673e+15,0,-0,0,0,-1,-1,-2,0
1.59101201108369e+15,-2,-0,-2,0,-1,-1,1,1
1.59101201108369e+15,-1,-0,-1,-2,-2,-2,3,0
1.59101201109975e+15,-2,-1,-1,-2,1,1,-3,-4
1.59101201109975e+15,0,1,-2,-1,1,1,2,2
