TimeStamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.59101169190344e+15,-12,-3,-2,-3,1,1,-2,-2
1.59101169190344e+15,9,2,1,0,0,0,2,0
1.59101169190344e+15,-18,-3,2,0,0,0,0,-5
1.59101169190344e+15,0,0,0,-1,-2,-2,-2,5
1.59101169190542e+15,1,-1,-1,1,-2,-2,-3,-3
1.59101169190542e+15,2,0,-3,-1,-1,-1,-2,0
1.59101169190642e+15,8,2,1,1,-2,-2,-3,3
1.59101169190642e+15,-7,-1,3,-1,-1,-1,1,-9
1.59101169191245e+15,-2,0,-5,-3,-2,-2,2,7
1.59101169191245e+15,-3,-1,-2,1,0,0,-2,-2
1.59101169192055e+15,5,0,-2,-1,0,0,-1,-2
1.59101169192055e+15,-3,-2,-4,-3,1,1,-2,-6
1.59101169193421e+15,7,0,-1,-1,-3,-3,0,-3
1.59101169193421e+15,-6,-1,0,0,1,1,-2,0
1.59101169194318e+15,-6,-5,-3,-4,-1,-1,-5,-17
1.59101169194318e+15,-1,1,-4,0,0,0,0,4
1.59101169194918e+15,-1,-1,1,-1,-2,-2,3,0
1.59101169194918e+15,0,0,1,-2,-2,-2,-1,1
1.59101169198008e+15,0,-1,-2,2,-2,-2,-3,-1
1.59101169198008e+15,13,4,-1,-2,-1,-1,0,14
1.59101169198208e+15,-1,-1,-2,-1,-2,-2,3,-9
1.59101169198208e+15,-4,-4,-3,-1,-5,-5,-5,-9
1.59101169198816e+15,4,1,-2,0,-1,-1,2,6
1.59101169198816e+15,-1,-2,-1,-1,-2,-2,0,-10
1.59101169203194e+15,1,2,1,3,1,1,1,3
1.59101169203194e+15,3,2,0,0,2,2,0,1
1.59101169204192e+15,2,0,-1,-1,-1,-1,-1,-1
1.59101169204192e+15,6,0,-1,0,-4,-4,-1,0
1.59101169204192e+15,-5,-2,-3,-2,1,1,0,-3
1.59101169204192e+15,3,-1,0,-2,-3,-3,-2,-6
1.59101169204291e+15,-6,0,2,1,2,2,2,0
1.59101169204291e+15,1,0,0,-2,-3,-3,2,0
1.59101169204391e+15,0,0,0,-1,-2,-2,1,-2
1.59101169204391e+15,-2,-2,-1,-2,-1,-1,-1,-5
