Time (ms),EMG Value
2006,0.31
2019,-0.86
2033,-0.38
2046,1.32
2059,0.66
2073,-1.35
2086,-0.78
2099,1.24
2113,0.68
2126,-1.32
2139,-0.51
2153,0.94
2166,0.84
2180,-0.17
2193,-1.52
2206,0.16
2219,1.58
2233,-1.47
2246,0.37
2259,0.84
2273,-0.71
2286,-0.38
2300,0.52
2313,0.42
2326,-0.50
2340,0.04
2353,-0.78
2366,0.08
2379,1.04
2393,0.49
2406,0.16
2420,-1.63
2433,-0.79
2446,0.93
2460,1.36
2473,-0.53
2486,-0.10
2499,-0.24
2513,-0.48
2526,-0.29
2540,1.11
2553,-0.11
2566,-0.45
2579,0.95
2593,-1.17
2606,-0.13
2619,1.18
2633,-0.68
2646,-0.77
2660,0.49
2673,0.96
2686,0.01
2699,-0.06
2713,-1.50
2726,0.26
2740,0.51
2753,-0.04
2766,0.94
2779,0.93
2793,-2.56
2806,-0.72
2819,1.46
2833,0.69
2846,-0.08
2859,0.28
2873,-0.76
2886,-0.35
2899,-0.62
2913,-0.27
2926,2.74
2939,0.27
2953,-1.81
2966,-1.25
2979,0.58
2993,0.45
3006,1.02
3019,0.73
3033,-1.71
3046,-1.14
3060,0.85
3073,1.36
3086,0.02
3099,-0.12
3113,-2.11
3126,0.37
3139,1.56
3153,0.49
3166,-0.93
3179,-0.11
3193,-0.61
3206,0.14
3219,0.84
3233,0.43
3246,-0.46
3260,-0.73
3273,-0.21
3286,0.40
3299,0.51
3313,0.16
3326,-0.36
3340,0.35
3353,-0.81
3366,-0.49
3379,1.33
3393,0.00
3406,-0.53
3419,-0.09
3433,0.24
3446,0.06
3460,-0.19
3473,-0.12
3486,0.11
3500,0.20
3513,0.06
3526,-0.11
3539,-0.15
3553,-0.05
3566,0.05
3580,0.08
3593,-0.11
3606,0.49
3619,-0.06
3633,-1.08
3646,0.01
3660,1.79
3673,-0.25
3686,-1.33
3699,0.27
3713,-0.14
3726,-0.00
3739,1.21
3753,-0.36
3766,-0.86
3780,0.63
3793,-0.31
3806,-0.46
3819,0.96
3833,-0.24
3846,-0.41
3859,0.18
3873,0.36
3886,-0.20
3899,0.29
3913,-0.87
3926,-0.38
3939,1.48
3953,0.03
3966,-0.81
3979,0.40
3993,-0.48
4006,-0.41
4019,1.10
4033,-0.16
4046,-0.60
4059,0.74
4073,-0.37
4086,-0.58
4100,1.03
4113,-0.90
4126,0.13
4140,1.24
4153,-0.85
4166,-1.15
4180,1.02
4193,0.33
4206,-0.25
4220,0.59
4233,-0.74
4246,-0.75
4260,1.00
4273,-0.03
4286,-0.43
4299,0.82
4313,-0.40
4326,-0.64
4339,0.98
4353,-0.91
4366,0.14
4379,1.25
4393,-0.84
4406,-1.15
4419,1.02
4433,0.33
4446,-0.25
4460,0.59
4473,-0.74
4486,-0.75
4499,1.00
4513,-0.03
4526,-0.42
4540,0.82
4553,-0.40
4566,-0.64
4579,0.83
4593,-0.27
4606,-0.53
4620,0.87
4633,-0.28
4646,-0.56
4659,0.85
4673,-0.30
4686,-0.56
4699,0.85
4713,-0.29
4726,-0.56
4739,0.85
4753,-0.29
4766,-0.56
4779,0.85
4793,-0.29
4806,-0.56
4819,0.85
4833,-0.29
4846,-0.56
4860,0.85
4873,-0.29
4886,-0.56
4899,0.85
4913,-0.29
4926,-0.56
4939,0.85
4953,-0.29
4966,-0.56
4979,0.85
4993,-0.29
5006,-0.56
5019,0.85
5033,-0.29
5046,-0.56
5060,0.85
5073,-0.29
5086,-0.56
5099,0.70
5113,0.35
5126,-1.08
5139,-0.17
5153,0.94
5166,0.56
5179,-0.52
5193,-0.83
5206,-0.32
5219,1.18
5233,-0.11
5246,-0.45
5259,0.88
5273,-0.42
5286,-0.80
5299,0.69
5313,-0.24
5326,-0.37
5339,1.02
5353,-0.26
5366,-0.49
5379,0.10
5393,0.33
5406,-0.18
5419,0.33
5433,-0.84
5446,-0.37
5460,1.48
5473,0.02
5486,-0.82
5499,0.39
5513,-0.49
5526,-0.42
5540,1.11
5553,-0.15
5566,-0.59
5579,0.75
5593,-0.37
5606,-0.58
5619,0.87
5633,-0.26
5646,-0.54
5659,0.86
5673,-0.29
5686,-0.41
5699,0.20
5713,0.38
5726,-0.18
5739,0.29
5753,-0.88
5766,-0.23
5779,0.83
5793,0.70
5806,-0.44
5819,-0.15
5833,-1.07
5846,-0.24
5859,1.73
5873,0.16
5886,-0.85
5899,0.29
5913,-0.56
5926,-0.43
5940,1.13
5953,-0.13
5966,-0.57
5979,0.75
5993,-0.37
6006,-0.43
6019,0.22
6033,0.41
6046,-0.16
6060,0.30
6073,-0.88
6086,-0.39
6099,1.47
6113,0.02
6126,-0.82
6139,0.40
6153,-0.48
6166,-0.41
6180,1.11
6193,-0.15
6206,-0.59
6219,0.74
6233,-0.22
6246,-1.22
6259,1.54
6273,0.12
6286,-1.10
6299,0.27
6313,-0.12
6326,0.06
6339,1.16
6353,-0.55
6366,-1.01
6379,0.66
6393,-0.14
6406,-0.15
6419,0.19
6433,1.00
6446,-0.81
6459,-0.81
6473,0.33
6486,0.60
6499,0.78
6513,-1.17
6526,-0.95
6539,1.28
6553,0.28
6566,-0.48
6580,0.51
6593,-0.61
6606,-0.58
6619,1.03
6633,-0.13
6646,-0.53
6659,0.79
6673,-0.36
6686,-0.43
6699,0.21
6713,0.40
6726,-0.01
6739,-0.34
6753,-0.20
6766,-0.01
6779,0.92
6793,-0.57
6806,-0.49
6819,0.38
6833,0.51
6846,-0.29
6859,0.10
6873,-0.78
6886,-0.92
6899,2.30
6913,0.61
6926,-2.07
6940,0.40
6953,0.18
6966,-0.98
6979,1.54
6993,0.32
7006,-1.45
7019,0.31
7033,0.90
7046,-0.97
7059,0.65
7073,-0.29
7086,-1.24
7099,1.75
7113,0.42
7126,-0.87
7139,-0.63
7153,0.38
7166,-0.32
7179,1.43
7193,-0.51
7206,-1.10
7219,0.03
7233,0.90
7246,0.50
7259,-0.39
7273,-0.66
7286,-0.22
7299,0.29
7313,0.39
7326,0.13
7339,-0.13
7353,-0.18
7366,-0.24
7379,0.66
7393,-0.46
7406,-1.14
7419,1.89
7433,0.29
7446,-1.27
7460,-0.18
7473,0.57
7486,-1.14
7499,1.63
7513,0.47
7526,-0.86
7539,-0.98
7553,0.67
7566,-0.29
7579,0.64
7593,-0.14
7606,-0.15
7620,0.88
7633,-0.74
7646,-0.84
7659,0.05
7673,1.38
7686,-0.54
7699,-0.04
7713,-0.49
7726,0.17
7739,0.44
7753,0.91
7766,-2.00
7779,0.44
7793,0.48
7806,-0.67
7819,1.49
7833,-0.18
7846,-1.08
7860,-0.49
7873,1.23
7886,-0.12
7899,-0.46
7913,0.14
7926,0.37
7939,-0.19
7953,0.26
7966,-0.89
7979,-0.20
7993,0.88
8006,0.72
8020,-0.30
8033,-0.68
8046,-1.06
8059,0.97
8073,0.93
8086,-0.45
8099,-0.24
8112,-0.14
8126,-0.59
8139,0.51
8153,0.99
8166,0.05
8179,-0.96
8193,-0.65
8206,-0.47
8219,1.49
8232,1.13
8246,-1.27
8259,-0.39
8273,0.15
8286,-0.01
8299,-0.10
8313,0.28
8326,-0.36
8339,0.79
8353,0.21
8366,-0.81
8379,-0.83
8393,0.92
8406,-0.05
8419,0.64
8433,-0.41
8446,-0.32
8460,-0.01
8473,0.76
8486,-0.88
8499,-0.75
8513,1.31
8526,0.25
8539,-0.34
8553,-0.16
8566,0.01
8579,-0.26
8593,0.46
8606,-0.67
8619,-0.30
8632,1.45
8646,-0.05
8659,-0.71
8673,-0.26
8686,0.20
8699,0.13
8713,-0.08
8726,-0.06
8739,-0.04
8753,0.81
8766,-0.64
8779,-0.66
8793,1.20
8806,-0.78
8819,0.18
8833,0.55
8846,-0.87
8859,0.02
8873,0.99
8886,-0.76
8899,-0.72
8913,1.31
8926,0.15
8939,-0.69
8952,0.32
8966,-0.64
8979,-0.30
8993,0.58
9006,0.66
9019,-0.17
9033,0.12
9046,-1.05
9060,-0.30
9073,0.86
9086,0.76
9099,-0.23
9113,-0.77
9126,-0.39
9139,0.28
9153,0.52
9166,0.23
9180,-0.31
9193,0.36
9206,-0.83
9219,-0.36
9233,0.67
9246,0.68
9259,-0.14
9273,-0.64
9286,-0.34
9299,0.23
9313,0.44
9326,0.19
9339,-0.14
9353,-0.10
9366,-0.77
9379,0.71
9393,0.64
9406,-1.12
9419,0.11
9433,0.53
9446,0.04
9459,-0.45
9473,0.55
9486,-0.49
9499,-0.40
9513,1.10
9526,-0.27
9539,-0.76
9553,0.69
9566,-0.25
9580,-0.24
9593,0.32
9606,0.38
9619,-0.27
9633,0.21
9646,-0.90
9659,-0.36
9673,1.52
9686,0.05
9699,-0.81
9713,0.40
9726,-0.49
9739,-0.27
9753,0.46
9766,0.52
9779,-0.06
9793,-0.45
