Time (ms),EMG Value
2002,0.18
2015,0.12
2028,1.15
2042,-1.28
2055,-0.24
2069,1.18
2082,-0.67
2095,-0.98
2108,1.21
2122,-0.37
2135,0.36
2149,1.10
2162,-1.93
2175,-0.64
2189,1.57
2202,0.04
2215,-0.85
2228,1.37
2242,-0.90
2255,-1.06
2269,1.92
2282,-0.55
2295,-1.14
2309,1.07
2322,-0.50
2335,0.25
2349,0.99
2362,-1.06
2375,-1.25
2389,1.86
2402,-0.25
2415,-0.87
2428,1.82
2442,-1.52
2455,-0.58
2469,1.39
2482,-0.27
2495,-0.94
2509,0.93
2522,-0.57
2535,0.44
2548,1.15
2562,-1.21
2575,-1.41
2589,1.05
2602,0.55
2615,-0.06
2628,0.79
2642,-1.60
2655,0.32
2668,1.30
2682,-1.65
2695,-0.97
2709,2.80
2722,-0.01
2735,-1.65
2749,0.84
2762,-0.86
2775,-0.57
2789,1.58
2802,0.28
2815,-0.91
2829,0.89
2842,-1.30
2855,-0.77
2868,1.77
2882,0.63
2895,-1.46
2908,0.72
2922,-0.32
2935,-0.84
2948,0.94
2962,-0.36
2975,-0.20
2989,2.58
3002,-1.56
3015,-2.67
3029,1.56
3042,0.81
3055,-0.69
3068,2.27
3082,-1.08
3095,-2.18
3109,0.51
3122,0.89
3135,-0.38
3149,2.18
3162,-1.22
3175,-1.98
3188,0.83
3202,0.91
3215,-0.70
3228,1.86
3242,-1.09
3255,-2.41
3268,1.74
3282,1.37
3295,-1.18
3308,0.51
3322,-0.48
3335,-0.76
3348,0.86
3362,0.18
3375,-0.87
3389,1.54
3402,-0.19
3415,-1.40
3428,0.22
3442,0.21
3455,-0.39
3469,1.90
3482,-0.23
3495,-1.66
3509,0.01
3522,0.18
3535,-0.29
3548,2.00
3562,-0.03
3575,-2.32
3588,0.66
3602,0.54
3615,-0.86
3629,1.41
3642,-0.01
3655,-1.04
3669,0.15
3682,0.55
3695,-1.43
3708,1.43
3722,0.68
3735,-1.47
3749,0.62
3762,-0.12
3775,-1.28
3788,1.59
3802,0.58
3815,-1.47
3828,-5.01
3842,24.53
3855,-27.07
3869,-23.69
3882,65.37
3895,-24.92
3909,-49.83
3922,91.59
3935,-54.39
3949,-59.62
3962,96.30
3975,-2.39
3989,-45.83
4002,17.17
4015,-6.88
4028,-5.12
4042,9.12
4055,9.22
4068,0.81
