Time (ms),EMG Value
2002,-15.44
2015,25.48
2028,-9.31
2042,-15.34
2055,24.28
2068,-10.17
2082,-14.89
2095,25.39
2109,-9.55
2122,-15.15
2135,24.73
2148,-9.98
2162,-15.15
2175,24.96
2188,-9.78
2202,-14.93
2215,24.30
2229,-9.14
2242,-14.42
2255,23.08
2269,-9.07
2282,-13.73
2295,22.50
2309,-8.66
2322,-13.42
2335,22.14
2349,-9.11
2362,-13.19
2375,21.93
2389,-8.19
2402,-12.81
2415,20.42
2429,-8.09
2442,-12.65
2455,20.69
2469,-7.37
2482,-12.14
2495,18.33
2509,-7.42
2522,-10.21
2535,17.84
2549,-6.65
2562,-10.97
2575,16.58
2589,-6.20
2602,-9.80
2615,14.80
2629,-4.25
2642,-8.31
2655,11.85
2669,-4.89
2682,-7.04
2695,11.23
2709,-3.56
2722,-5.46
2735,6.32
2749,-0.70
2762,-6.48
2775,15.04
2788,-5.56
2802,-28.65
2815,25.94
2829,21.14
2842,-29.41
2855,4.90
2869,-0.16
2882,-2.69
2895,11.10
2909,-5.20
2922,-9.06
2935,7.21
2949,3.55
2962,-0.59
2975,1.59
2988,-4.36
3002,-4.23
3015,2.81
3029,1.22
3042,0.36
3055,2.31
3069,-0.07
3082,-2.64
3095,0.23
3108,0.19
3122,-1.03
3135,1.13
3149,1.62
3162,-2.79
3175,-0.04
3188,3.26
3202,-1.41
3215,-2.34
3228,3.44
3242,-1.99
3255,-1.19
3269,2.11
3282,-0.15
3295,-0.59
3309,1.14
3322,-2.38
3335,-2.45
3349,14.23
3362,-13.90
3375,-10.09
3389,26.23
3402,-8.40
3415,-14.73
3429,17.86
3442,-6.72
3455,-11.20
3469,18.80
3482,-7.20
3495,-10.32
3509,19.04
3522,-7.72
3535,-12.59
3549,18.13
3562,-6.44
3575,-11.27
3589,19.78
3602,-8.48
3615,-13.12
3629,22.83
3642,-9.03
3655,-14.65
3669,23.71
3682,-8.79
3695,-15.23
3709,24.07
3722,-9.25
3735,-15.37
3749,25.46
3762,-9.44
3775,-16.44
3789,26.52
3802,-10.57
3815,-17.25
3829,28.17
3842,-10.11
3855,-17.96
3869,28.33
3882,-10.79
3895,-18.16
3909,28.96
3922,-10.22
3935,-18.32
3949,28.38
3962,-10.53
3976,-18.13
3988,28.76
4002,-10.35
4015,-18.23
4029,28.56
4042,-10.46
4055,-18.36
4069,29.28
4082,-11.08
4095,-18.73
4109,29.83
4122,-10.51
4135,-18.91
4149,29.19
4162,-10.82
4175,-18.50
4189,29.00
4202,-9.96
4215,-18.42
4229,28.83
4242,-11.35
4255,-18.59
4269,30.28
4282,-11.02
4295,-18.33
4309,29.41
4322,-11.46
4335,-19.21
4349,29.90
4362,-9.95
4375,-18.33
4389,28.47
4402,-10.56
4415,-18.13
4431,27.15
4441,-8.99
4455,-16.83
4469,26.62
4481,-10.89
4495,-16.15
4509,27.01
4522,-9.56
4535,-17.13
4548,25.16
4562,-9.19
4575,-14.31
4589,23.63
4602,-8.90
4615,-15.36
4629,26.39
4642,-13.38
4655,-16.76
4669,31.68
4682,-10.40
4695,-19.20
4709,27.45
4722,-11.83
4735,-17.21
4749,30.19
4762,-10.78
4775,-18.06
4789,28.76
4802,-11.60
4815,-17.86
4829,28.60
4842,-10.47
4855,-17.27
4869,28.04
4882,-11.18
4895,-17.23
4909,28.58
4922,-10.90
4935,-17.32
4949,27.51
4962,-10.38
4975,-16.77
4989,27.07
5002,-10.18
5015,-17.31
5029,27.35
5042,-10.06
5055,-16.18
5069,26.48
5082,-10.72
5095,-16.52
5109,26.63
5122,-10.09
5135,-15.73
5149,26.09
5162,-9.90
5175,-15.96
5189,25.29
5202,-10.28
5215,-15.24
5229,25.52
5242,-9.13
5255,-15.76
5269,24.39
5282,-9.08
5295,-14.65
5309,22.21
5322,-7.88
5335,-13.14
5349,21.46
5362,-7.72
5375,-13.80
5389,20.34
5402,-7.72
5415,-12.66
5429,22.13
5442,-8.54
5455,-14.12
5469,21.81
5482,-7.95
5495,-13.53
