Time (ms),EMG Value
2000,43.15
2013,-21.13
2027,-23.82
2040,45.51
2053,-20.89
2067,-26.41
2080,48.33
2093,-20.35
2107,-28.80
2120,48.85
2134,-19.80
2147,-30.02
2160,51.33
2174,-21.32
2187,-31.73
2200,53.02
2214,-20.04
2227,-33.45
2240,55.99
2254,-23.55
2267,-35.92
2280,59.28
2293,-20.78
2307,-36.79
2320,58.16
2333,-23.56
2347,-36.56
2361,58.75
2373,-19.36
2386,-36.70
2400,56.66
2413,-23.19
2427,-36.66
2440,62.37
2453,-23.49
2467,-40.22
2480,63.55
2493,-22.76
2507,-40.83
2520,64.36
2533,-25.03
2547,-41.00
2560,67.46
2573,-24.73
2587,-43.13
2600,66.24
2613,-22.69
2627,-41.94
2640,64.87
2654,-24.27
2667,-43.41
2680,70.96
2694,-26.95
2707,-46.30
2720,73.95
2733,-26.24
2747,-43.75
2760,56.66
2773,-8.60
2787,-35.15
2800,51.09
2813,-34.89
2827,-37.21
2840,82.39
2853,-21.90
2867,-50.76
2880,65.73
2893,-30.22
2907,-45.62
2920,76.84
2934,-23.03
2947,-45.77
2960,74.46
2973,-32.21
2987,-51.51
3000,81.66
3014,-28.23
3027,-49.75
3040,75.61
3053,-23.57
3067,-46.25
3080,61.61
3093,-18.81
3107,-38.03
3120,60.33
3133,-23.94
3147,-39.88
3160,63.11
3173,-20.52
3187,-38.67
3200,56.47
3213,-20.23
3227,-35.44
3240,53.58
3253,-17.52
3267,-32.24
3280,48.75
3293,-17.08
3307,-30.01
3320,43.79
3333,-14.49
3347,-26.88
3360,41.87
3374,-16.34
3387,-25.94
3400,41.54
3413,-13.71
3427,-25.34
3440,37.43
3454,-14.49
3467,-23.25
3480,37.61
3493,-13.02
3507,-22.85
3520,35.47
3534,-13.71
3547,-22.14
3560,35.42
3573,-12.89
3587,-21.51
3600,33.55
3613,-12.15
3627,-20.67
3640,32.79
3654,-12.39
3667,-20.87
3680,32.03
3693,-10.01
3707,-19.77
3720,29.09
3733,-10.12
3747,-20.43
3760,29.56
3773,-7.67
3787,-20.17
3800,28.06
3814,-8.19
3827,-20.84
3840,26.91
3853,-3.86
3867,-22.31
3880,23.76
3893,0.90
3907,-24.19
3920,20.39
3933,5.03
3947,-23.74
3960,17.60
3973,8.28
3987,-28.96
4000,16.34
4013,18.22
4027,-36.35
4040,27.34
4053,6.40
4067,-66.43
4080,115.38
4093,-54.58
4107,-146.55
4120,274.94
4133,-93.71
4147,-272.77
4160,430.09
4174,-125.49
4187,-348.24
4200,326.63
4213,186.37
4227,-314.49
4240,-120.16
4254,168.84
4267,161.61
4280,-12.73
4294,-132.65
4307,-103.63
4320,25.31
4333,90.97
4347,49.94
4360,-2.16
4374,-29.85
4387,-36.39
4400,-9.17
4413,9.62
4427,4.41
4440,9.92
4453,10.44
4467,-5.86
4480,-1.43
4493,2.50
4507,-10.34
4520,0.66
4533,8.07
4547,-11.95
4560,5.40
4574,26.67
4587,-76.16
4600,65.49
4613,88.14
4627,-228.02
4640,114.89
4653,192.72
4667,-379.57
4680,202.26
4693,185.54
4707,-397.82
4720,284.06
4733,91.18
4747,-435.35
4760,326.13
4773,92.54
4787,-336.08
4800,270.25
4813,39.23
4827,-275.84
4840,130.70
4853,114.89
4867,-199.85
4880,244.14
4893,-40.08
4907,-425.25
4920,277.38
4934,262.45
4947,-68.68
4960,-147.44
4973,-30.75
4987,-107.39
5000,-11.22
5013,196.91
5027,85.49
5040,-41.83
5053,-26.19
5067,-110.58
5080,-62.88
5093,89.96
5107,27.77
5120,-7.64
5133,56.50
5147,-32.83
5160,-47.15
5173,43.62
5187,-20.76
5200,-32.49
5213,52.36
5227,-14.15
5240,-27.96
5253,48.20
5267,-15.07
5280,-28.78
5293,41.93
5307,-17.69
5320,-28.50
5333,41.51
5347,-14.39
5360,-25.36
5373,42.27
5387,-14.02
5400,-25.50
5413,39.20
5427,-15.26
5440,-25.36
5453,38.40
5467,-13.39
5480,-24.02
5493,39.08
5507,-14.58
5520,-24.65
5533,37.58
5547,-13.28
5560,-22.88
5573,37.57
5587,-15.39
5600,-23.58
5613,37.77
5627,-13.08
5640,-23.29
5653,35.93
5667,-13.35
5680,-22.92
5693,36.00
5707,-11.27
5720,-24.13
5734,34.21
5747,-11.62
5760,-21.70
5773,33.44
5787,-12.06
5800,-21.21
5813,33.91
5827,-12.46
5840,-21.04
5853,32.41
5867,-12.48
5880,-19.53
5893,33.25
5907,-13.38
5920,-20.03
5933,32.06
5947,-11.89
5960,-19.63
5973,31.72
5987,-12.01
6000,-19.38
6013,30.78
6027,-11.21
6040,-19.02
6053,28.96
6067,-11.00
6080,-17.10
6093,30.34
6107,-12.55
6120,-19.31
6134,29.41
6147,-10.29
6160,-16.69
6173,27.99
6187,-11.78
6200,-17.58
6213,28.94
6227,-10.99
6240,-17.18
6253,28.53
6267,-11.25
6280,-17.73
6293,27.51
6307,-10.07
6320,-15.63
6333,26.63
6347,-11.70
6360,-15.69
6373,26.83
6387,-10.37
6400,-16.23
6413,26.38
6427,-9.92
6440,-16.64
6453,25.13
6466,-8.27
6480,-14.50
6493,23.77
6507,-10.25
6520,-16.40
6533,25.43
6547,-7.42
6560,-14.32
6573,21.86
6587,-9.96
6600,-13.51
6613,23.25
6627,-8.26
6640,-13.43
6653,20.83
6667,-7.33
6680,-13.78
6693,19.31
6707,-5.60
6720,-11.08
6733,17.56
6747,-7.19
6760,-12.24
6773,17.39
6787,-3.17
6800,-11.36
6813,11.87
6827,-0.06
6840,-9.76
6853,8.02
6867,0.46
6880,-7.45
6893,4.78
6906,4.43
6920,-6.88
6933,1.84
6946,5.28
6960,-8.46
6973,0.04
6986,10.48
7000,-7.91
7013,-4.36
7026,13.10
7040,-9.13
7053,-5.56
7067,17.29
7080,-11.73
7093,-9.00
7107,21.21
7120,-9.59
7133,-11.55
7146,21.62
7160,-10.79
7173,-14.03
7187,25.83
7200,-9.86
7213,-15.73
7227,26.45
7240,-12.45
7253,-15.27
7266,29.35
7280,-13.10
7293,-18.03
7307,30.23
7320,-11.37
7333,-17.53
7346,30.00
7360,-13.20
7373,-19.37
7387,33.07
7400,-13.00
7413,-19.08
7427,31.48
7440,-13.03
7453,-18.60
7467,33.54
7480,-14.73
7493,-20.66
7507,34.36
7520,-12.56
7533,-21.32
7547,33.95
7560,-13.01
7573,-21.08
7586,35.14
7600,-13.90
7613,-22.21
7627,35.15
7640,-12.29
7653,-22.67
7667,36.10
7680,-14.87
7693,-21.68
7707,37.79
7720,-14.78
7733,-23.52
7747,36.01
7760,-13.42
7773,-21.81
7787,38.03
7800,-15.26
7813,-24.67
7827,38.37
7840,-14.14
7853,-23.55
7867,38.68
7880,-13.79
7893,-25.92
7907,39.21
7920,-14.03
7933,-25.03
7947,39.84
7960,-14.57
7973,-25.25
7987,39.49
8000,-14.58
8013,-25.37
8027,40.39
8040,-14.54
8053,-25.26
8067,40.48
8080,-16.94
8093,-25.20
8106,42.99
8120,-15.73
8133,-27.47
8147,41.92
8160,-14.02
8173,-26.67
8186,39.91
8200,-14.48
8213,-26.75
8226,45.48
8240,-19.95
8253,-28.40
8267,48.05
8280,-16.23
8293,-29.08
8307,43.30
8320,-17.78
8333,-26.92
8347,46.02
8360,-16.92
8373,-27.72
8387,43.85
8400,-16.36
8413,-27.99
8427,43.35
8440,-15.76
8453,-27.58
8467,44.54
8480,-15.82
8493,-28.91
8506,43.75
8520,-16.09
8533,-27.24
8546,44.47
8560,-16.32
8573,-29.08
8587,44.17
8600,-15.76
8613,-26.40
8626,42.95
8640,-17.15
8653,-26.69
8667,43.31
8680,-15.95
8693,-26.99
8707,42.20
8720,-14.93
8733,-25.92
8747,40.24
8760,-15.25
8773,-24.68
8787,39.25
8800,-13.93
8813,-24.11
8826,38.37
8840,-16.33
8853,-26.32
8867,51.75
8880,-25.11
8893,-36.58
8907,67.27
8921,-28.19
8933,-39.56
8946,54.55
8960,-5.76
8973,-30.58
8986,30.08
9000,-18.01
9013,-19.44
9026,44.76
9040,-11.17
9053,-26.10
9067,32.24
9080,-15.20
9093,-22.64
9107,37.37
9120,-10.04
9133,-22.84
9147,33.76
9160,-11.25
9173,-24.21
9187,32.22
9200,-6.84
9213,-23.44
9227,29.57
9240,-6.11
9253,-24.29
9267,28.73
9280,-1.71
9293,-24.95
9307,24.62
9320,0.09
9333,-25.00
9346,23.05
9360,3.60
9373,-25.45
9387,20.47
9400,6.72
9413,-27.60
9427,17.64
9440,12.00
9453,-27.67
9467,14.12
9480,14.45
9493,-29.66
9507,12.81
9520,18.77
9533,-29.59
9546,10.35
9560,19.26
9573,-30.84
9587,10.11
9600,21.89
9613,-30.08
9626,7.38
9640,21.99
9653,-29.44
9667,5.63
9680,25.63
9693,-38.30
9707,43.81
9720,-18.25
9733,-55.95
9746,38.61
9760,69.24
9773,-38.16
9787,-38.27
9800,0.76
9813,-23.83
9827,53.90
9840,32.92
9853,-59.90
9866,21.12
9880,11.15
9893,-60.91
9907,41.85
9920,31.97
9933,-58.16
9947,31.31
9960,28.10
9973,-59.49
9987,22.60
10000,34.98
10013,-53.25
10027,11.78
10040,41.37
10053,-45.83
10067,1.77
10080,43.65
10093,-44.54
10106,4.23
10120,41.57
10133,-54.13
10146,9.62
10160,48.96
10173,-54.34
10187,8.69
10200,46.84
10213,-63.64
10226,2.05
10240,69.01
10253,-48.30
10267,-23.70
10280,62.10
10293,-42.51
10307,-24.74
10320,67.71
10333,-34.95
10347,-29.58
10360,67.54
10373,-38.92
10387,-36.82
10400,72.62
